AL, 05, 2020070400, 01, CARQ, -24, 317N,  761W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 05, 2020070400, 01, CARQ, -18, 310N,  759W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 05, 2020070400, 01, CARQ, -12, 304N,  754W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 129,   8,     INVEST,  , 
AL, 05, 2020070400, 01, CARQ,  -6, 300N,  745W,  25,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 05, 2020070400, 01, CARQ,   0, 300N,  730W,  30, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1013,  120,  30,   0,   0,   L,   0,   X,  90,  13,     INVEST, M, 
AL, 05, 2020070400, 01, CARQ,   0, 300N,  730W,  30, 1009, LO,  50, NEQ,    0,    0,    0,    0, 1013,  120,  30,   0,   0,   L,   0,   X,  90,  13,     INVEST, M, 
AL, 05, 2020070400, 01, CARQ,   0, 300N,  730W,  30, 1009, LO,  64, NEQ,    0,    0,    0,    0, 1013,  120,  30,   0,   0,   L,   0,   X,  90,  13,     INVEST, M, 
AL, 05, 2020070400, 03, AC00,   0, 314N,  726W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AC00,   6, 314N,  715W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AC00,  12, 316N,  700W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AC00,  18, 318N,  689W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AC00,  24, 323N,  677W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AEMN,   0, 313N,  727W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AEMN,   6, 314N,  715W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AEMN,  12, 316N,  700W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AEMN,  18, 319N,  688W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AEMN,  24, 323N,  678W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AEMN,  30, 330N,  667W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP01,   0, 313N,  726W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP01,   6, 314N,  713W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP01,  12, 316N,  699W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP01,  18, 319N,  686W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP01,  24, 325N,  674W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP01,  30, 332N,  659W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP01,  36, 342N,  642W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP02,   0, 313N,  724W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP02,   6, 316N,  713W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP02,  12, 316N,  699W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP02,  18, 320N,  686W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 05, 2020070400, 03, AP02,  24, 324N,  675W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
