AL, 26, 2020100312, 01, CARQ, -24, 133N,  668W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 26, 2020100312, 01, CARQ, -18, 133N,  677W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 26, 2020100312, 01, CARQ, -12, 133N,  686W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 270,   9,     INVEST,  , 
AL, 26, 2020100312, 01, CARQ,  -6, 133N,  696W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 26, 2020100312, 01, CARQ,   0, 134N,  706W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   L,   0,   X, 275,  10,     INVEST, S, 
AL, 26, 2020100312, 01, CARQ,   0, 134N,  706W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   L,   0,   X, 275,  10,     INVEST, S, 
AL, 26, 2020100312, 01, CARQ,   0, 134N,  706W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   L,   0,   X, 275,  10,     INVEST, S, 
AL, 26, 2020100312, 03, AC00,   0, 129N,  710W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AEMN,   0, 130N,  712W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP01,   0, 130N,  714W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP02,   0, 125N,  713W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP02,   6, 134N,  718W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP03,   0, 132N,  712W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP04,   0, 133N,  715W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP04,   6, 136N,  715W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP05,   0, 132N,  714W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP05,   6, 134N,  711W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP06,   0, 132N,  719W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP07,   0, 130N,  712W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 26, 2020100312, 03, AP08,   0, 124N,  706W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
