AL, 98, 2014082712, 03, GFDN,   0, 270N,  945W,  27, 1009
AL, 98, 2014082712, 03, GFDN,   6, 266N,  949W,  27, 1008
AL, 98, 2014082712, 03, GFDN,  12, 261N,  954W,  26, 1008
AL, 98, 2014082712, 03, GFDN,  18, 259N,  961W,  25, 1008
AL, 98, 2014082712, 03, GFDN,  24, 259N,  964W,  24, 1008
AL, 98, 2014082712, 03, GFDN,  30, 257N,  968W,  22, 1006
AL, 98, 2014082712, 03, GFDN,  36, 255N,  973W,  24, 1006
AL, 98, 2014082712, 03, GFDN,  42, 256N,  977W,  21, 1007
AL, 98, 2014082712, 03, GFDN,  48, 257N,  980W,  17, 1008
AL, 98, 2014082712, 03, GFDN,  54, 256N,  981W,  15, 1005
AL, 98, 2014082712, 03, GFDN,  60, 256N,  984W,  16,  999
AL, 98, 2014082712, 03, GFDN,  66, 257N,  985W,  15, 1007
AL, 98, 2014082712, 03, GFDN,  72, 254N,  985W,  15, 1009
AL, 98, 2014082712, 03, GFDN,  78, 250N,  981W,  17, 1006
AL, 98, 2014082712, 03, GFDN,  84, 238N,  981W,  18, 1004
AL, 98, 2014082712, 03, NG01, 000, 267N,  943W,  12, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG01, 006, 261N,  947W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG01, 012, 263N,  955W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG01, 018, 262N,  960W,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG01, 024, 265N,  969W,  14, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG01, 030, 264N,  975W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 000, 263N,  945W,  12, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 006, 257N,  947W,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 012, 254N,  948W,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 018, 251N,  955W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 024, 251N,  957W,  14, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 030, 245N,  956W,  16, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 036, 235N,  960W,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 042, 230N,  958W,  14, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 048, 230N,  962W,  10, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG02, 054, 223N,  962W,  10, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 000, 267N,  950W,  11, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 006, 261N,  951W,  16, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 012, 259N,  956W,  18, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 018, 258N,  961W,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 024, 259N,  966W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 030, 258N,  966W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 036, 252N,  967W,  15, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 042, 258N,  975W,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 048, 260N,  981W,   8, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG03, 054, 259N,  976W,   9, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 000, 270N,  940W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 006, 268N,  942W,  14, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 012, 269N,  949W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 018, 270N,  958W,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 024, 274N,  962W,  14, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 030, 278N,  962W,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 036, 274N,  964W,  12, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 042, 280N,  968W,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 048, 284N,  972W,  14, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 98, 2014082712, 03, NG04, 054, 279N,  967W,   8, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
