AA, 02, 2014061000, 03, HWRF, 000, 153N,  686E,  32,  995, XX,  34, NEQ, 0000, 0000, 0220, 0000,    0,    0, 108
AA, 02, 2014061000, 03, HWRF, 006, 154N,  684E,  51,  996, XX,  34, NEQ, 0122, 0122, 0154, 0127,    0,    0,  36
AA, 02, 2014061000, 03, HWRF, 006, 154N,  684E,  51,  996, XX,  50, NEQ, 0000, 0000, 0041, 0000,    0,    0,  36
AA, 02, 2014061000, 03, HWRF, 012, 162N,  678E,  48,  994, XX,  34, NEQ, 0179, 0124, 0116, 0099,    0,    0,  34
AA, 02, 2014061000, 03, HWRF, 018, 168N,  678E,  52,  989, XX,  34, NEQ, 0000, 0133, 0145, 0104,    0,    0,  49
AA, 02, 2014061000, 03, HWRF, 018, 168N,  678E,  52,  989, XX,  50, NEQ, 0000, 0000, 0056, 0000,    0,    0,  49
AA, 02, 2014061000, 03, HWRF, 024, 168N,  675E,  63,  983, XX,  34, NEQ, 0056, 0135, 0129, 0111,    0,    0,  27
AA, 02, 2014061000, 03, HWRF, 024, 168N,  675E,  63,  983, XX,  50, NEQ, 0000, 0043, 0082, 0000,    0,    0,  27
AA, 02, 2014061000, 03, HWRF, 030, 173N,  674E,  57,  983, XX,  34, NEQ, 0060, 0186, 0179, 0142,    0,    0,  20
AA, 02, 2014061000, 03, HWRF, 030, 173N,  674E,  57,  983, XX,  50, NEQ, 0000, 0043, 0047, 0000,    0,    0,  20
AA, 02, 2014061000, 03, HWRF, 036, 178N,  670E,  60,  977, XX,  34, NEQ, 0085, 0117, 0200, 0137,    0,    0,  22
AA, 02, 2014061000, 03, HWRF, 036, 178N,  670E,  60,  977, XX,  50, NEQ, 0000, 0049, 0060, 0000,    0,    0,  22
AA, 02, 2014061000, 03, HWRF, 042, 179N,  663E,  71,  975, XX,  34, NEQ, 0084, 0098, 0143, 0116,    0,    0,  24
AA, 02, 2014061000, 03, HWRF, 042, 179N,  663E,  71,  975, XX,  50, NEQ, 0045, 0050, 0105, 0041,    0,    0,  24
AA, 02, 2014061000, 03, HWRF, 042, 179N,  663E,  71,  975, XX,  64, NEQ, 0000, 0031, 0000, 0000,    0,    0,  24
AA, 02, 2014061000, 03, HWRF, 048, 177N,  658E,  65,  966, XX,  34, NEQ, 0070, 0175, 0158, 0105,    0,    0,  21
AA, 02, 2014061000, 03, HWRF, 048, 177N,  658E,  65,  966, XX,  50, NEQ, 0052, 0049, 0079, 0039,    0,    0,  21
AA, 02, 2014061000, 03, HWRF, 048, 177N,  658E,  65,  966, XX,  64, NEQ, 0000, 0000, 0027, 0023,    0,    0,  21
AA, 02, 2014061000, 03, HWRF, 054, 177N,  653E,  60,  975, XX,  34, NEQ, 0133, 0184, 0156, 0117,    0,    0,  21
AA, 02, 2014061000, 03, HWRF, 054, 177N,  653E,  60,  975, XX,  50, NEQ, 0038, 0053, 0058, 0040,    0,    0,  21
AA, 02, 2014061000, 03, HWRF, 060, 181N,  655E,  57,  975, XX,  34, NEQ, 0140, 0166, 0214, 0158,    0,    0,  37
AA, 02, 2014061000, 03, HWRF, 060, 181N,  655E,  57,  975, XX,  50, NEQ, 0000, 0044, 0086, 0000,    0,    0,  37
AA, 02, 2014061000, 03, HWRF, 066, 181N,  647E,  69,  972, XX,  34, NEQ, 0094, 0181, 0160, 0112,    0,    0,  25
AA, 02, 2014061000, 03, HWRF, 066, 181N,  647E,  69,  972, XX,  50, NEQ, 0000, 0051, 0084, 0000,    0,    0,  25
AA, 02, 2014061000, 03, HWRF, 066, 181N,  647E,  69,  972, XX,  64, NEQ, 0000, 0035, 0033, 0000,    0,    0,  25
AA, 02, 2014061000, 03, HWRF, 072, 179N,  639E,  72,  964, XX,  34, NEQ, 0067, 0220, 0187, 0114,    0,    0,  22
AA, 02, 2014061000, 03, HWRF, 072, 179N,  639E,  72,  964, XX,  50, NEQ, 0042, 0062, 0068, 0037,    0,    0,  22
AA, 02, 2014061000, 03, HWRF, 072, 179N,  639E,  72,  964, XX,  64, NEQ, 0030, 0035, 0028, 0000,    0,    0,  22
AA, 02, 2014061000, 03, HWRF, 078, 181N,  635E,  78,  966, XX,  34, NEQ, 0092, 0231, 0311, 0107,    0,    0,  16
AA, 02, 2014061000, 03, HWRF, 078, 181N,  635E,  78,  966, XX,  50, NEQ, 0036, 0069, 0094, 0032,    0,    0,  16
AA, 02, 2014061000, 03, HWRF, 078, 181N,  635E,  78,  966, XX,  64, NEQ, 0000, 0040, 0040, 0000,    0,    0,  16
AA, 02, 2014061000, 03, HWRF, 084, 184N,  633E,  67,  965, XX,  34, NEQ, 0100, 0263, 0272, 0119,    0,    0,  22
AA, 02, 2014061000, 03, HWRF, 084, 184N,  633E,  67,  965, XX,  50, NEQ, 0035, 0096, 0097, 0040,    0,    0,  22
AA, 02, 2014061000, 03, HWRF, 084, 184N,  633E,  67,  965, XX,  64, NEQ, 0000, 0025, 0024, 0000,    0,    0,  22
AA, 02, 2014061000, 03, HWRF, 090, 187N,  630E,  87,  961, XX,  34, NEQ, 0085, 0337, 0329, 0121,    0,    0,  27
AA, 02, 2014061000, 03, HWRF, 090, 187N,  630E,  87,  961, XX,  50, NEQ, 0043, 0084, 0094, 0046,    0,    0,  27
AA, 02, 2014061000, 03, HWRF, 090, 187N,  630E,  87,  961, XX,  64, NEQ, 0000, 0056, 0061, 0000,    0,    0,  27
AA, 02, 2014061000, 03, HWRF, 096, 187N,  627E,  81,  964, XX,  34, NEQ, 0100, 0215, 0234, 0129,    0,    0,  29
AA, 02, 2014061000, 03, HWRF, 096, 187N,  627E,  81,  964, XX,  50, NEQ, 0052, 0073, 0088, 0059,    0,    0,  29
AA, 02, 2014061000, 03, HWRF, 096, 187N,  627E,  81,  964, XX,  64, NEQ, 0000, 0046, 0056, 0000,    0,    0,  29
AA, 02, 2014061000, 03, HWRF, 102, 187N,  625E,  81,  969, XX,  34, NEQ, 0095, 0246, 0257, 0162,    0,    0,  24
AA, 02, 2014061000, 03, HWRF, 102, 187N,  625E,  81,  969, XX,  50, NEQ, 0049, 0073, 0098, 0000,    0,    0,  24
AA, 02, 2014061000, 03, HWRF, 102, 187N,  625E,  81,  969, XX,  64, NEQ, 0000, 0045, 0045, 0000,    0,    0,  24
AA, 02, 2014061000, 03, HWRF, 108, 189N,  625E,  65,  972, XX,  34, NEQ, 0102, 0262, 0259, 0127,    0,    0,  49
AA, 02, 2014061000, 03, HWRF, 108, 189N,  625E,  65,  972, XX,  50, NEQ, 0045, 0086, 0125, 0000,    0,    0,  49
AA, 02, 2014061000, 03, HWRF, 108, 189N,  625E,  65,  972, XX,  64, NEQ, 0000, 0050, 0052, 0000,    0,    0,  49
AA, 02, 2014061000, 03, HWRF, 114, 185N,  623E,  59,  974, XX,  34, NEQ, 0117, 0198, 0139, 0147,    0,    0,  41
AA, 02, 2014061000, 03, HWRF, 114, 185N,  623E,  59,  974, XX,  50, NEQ, 0061, 0071, 0092, 0106,    0,    0,  41
AA, 02, 2014061000, 03, HWRF, 120, 184N,  621E,  82,  969, XX,  34, NEQ, 0115, 0196, 0198, 0145,    0,    0,  20
AA, 02, 2014061000, 03, HWRF, 120, 184N,  621E,  82,  969, XX,  50, NEQ, 0000, 0077, 0093, 0068,    0,    0,  20
AA, 02, 2014061000, 03, HWRF, 120, 184N,  621E,  82,  969, XX,  64, NEQ, 0000, 0048, 0049, 0000,    0,    0,  20
AA, 02, 2014061000, 03, HWRF, 126, 186N,  621E,  67,  976, XX,  34, NEQ, 0120, 0199, 0199, 0140,    0,    0,  39
AA, 02, 2014061000, 03, HWRF, 126, 186N,  621E,  67,  976, XX,  50, NEQ, 0067, 0081, 0094, 0000,    0,    0,  39
AA, 02, 2014061000, 03, HWRF, 126, 186N,  621E,  67,  976, XX,  64, NEQ, 0000, 0048, 0000, 0000,    0,    0,  39
AA, 02, 2014061006, 03, HWRF, 000, 156N,  683E,  32,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  44
