AL, 13, 2008100418, 01, CARQ, -24, 176N,  862W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 13, 2008100418, 01, CARQ, -18, 176N,  865W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 13, 2008100418, 01, CARQ, -12, 176N,  869W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 276,   5, 
AL, 13, 2008100418, 01, CARQ,  -6, 177N,  875W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 13, 2008100418, 01, CARQ,   0, 178N,  880W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 280,   5,     INVEST, D, 
AL, 13, 2008100418, 01, CARQ,   0, 178N,  880W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 280,   5,     INVEST, D, 
AL, 13, 2008100418, 01, CARQ,   0, 178N,  880W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 280,   5,     INVEST, D, 
AL, 13, 2008100418, 03, AC00,   0, 169N,  877W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AC00,   6, 169N,  880W,   9, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AC00,  12, 172N,  888W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AEMN,   0, 169N,  878W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AEMN,   6, 170N,  880W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AEMN,  12, 175N,  889W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP01,   0, 168N,  880W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP01,   6, 170N,  883W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP01,  12, 179N,  901W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP02,   0, 168N,  877W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP02,   6, 168N,  883W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP03,   0, 167N,  876W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP03,   6, 178N,  881W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP03,  12, 178N,  895W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP04,   0, 169N,  879W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP04,   6, 175N,  887W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP04,  12, 187N,  898W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP04,  18, 190N,  906W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP04,  24, 192N,  907W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP04,  30, 180N,  923W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP05,   0, 172N,  874W,   8, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP06,   0, 169N,  877W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP06,   6, 169N,  880W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP07,   0, 169N,  877W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP07,   6, 167N,  879W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 13, 2008100418, 03, AP07,  12, 169N,  884W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
