EP, 18, 2008110118, 01, CARQ, -24,  68N,  968W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, 18, 2008110118, 01, CARQ, -18,  69N,  986W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, 18, 2008110118, 01, CARQ, -12,  70N, 1003W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 276,  16, 
EP, 18, 2008110118, 01, CARQ,  -6,  72N, 1018W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, 18, 2008110118, 01, CARQ,   0,  76N, 1033W,  25, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1012,  125,   0,   0,   0,   E,   0,   X, 275,  16,     INVEST, M, 
EP, 18, 2008110118, 01, CARQ,   0,  76N, 1033W,  25, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1012,  125,   0,   0,   0,   E,   0,   X, 275,  16,     INVEST, M, 
EP, 18, 2008110118, 01, CARQ,   0,  76N, 1033W,  25, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1012,  125,   0,   0,   0,   E,   0,   X, 275,  16,     INVEST, M, 
EP, 18, 2008110118, 03, AC00,   0,  67N, 1034W,  24, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,   6,  69N, 1041W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,  12,  68N, 1060W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,  18,  64N, 1073W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,  24,  62N, 1082W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,  30,  65N, 1091W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,  36,  58N, 1100W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,  42,  56N, 1111W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,  48,  52N, 1126W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AC00,  54,  47N, 1136W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,   0,  66N, 1034W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,   6,  70N, 1043W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  12,  67N, 1059W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  18,  67N, 1073W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  24,  67N, 1083W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  30,  64N, 1093W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  36,  62N, 1104W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  42,  62N, 1117W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  48,  63N, 1125W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  54,  62N, 1143W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  60,  64N, 1156W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  66,  65N, 1170W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  72,  68N, 1183W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  78,  69N, 1198W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AEMN,  84,  70N, 1209W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,   0,  66N, 1031W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,   6,  70N, 1038W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  12,  64N, 1050W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  18,  64N, 1059W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  24,  61N, 1070W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  30,  61N, 1082W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  36,  60N, 1091W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  42,  54N, 1104W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  48,  59N, 1119W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  54,  57N, 1131W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  60,  56N, 1139W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  66,  57N, 1149W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP01,  72,  54N, 1156W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,   0,  66N, 1032W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,   6,  70N, 1042W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  12,  64N, 1059W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  18,  64N, 1073W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  24,  65N, 1081W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  30,  66N, 1091W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  36,  66N, 1106W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  42,  64N, 1113W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  48,  60N, 1122W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  54,  59N, 1134W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008110118, 03, AP02,  60,  60N, 1145W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
