EP, 91, 2014081700, 03, COTC, 000, 165N, 1141W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 105
EP, 91, 2014081700, 03, GFDN,   0, 161N, 1131W,  23, 1007
EP, 91, 2014081700, 03, GFDN,   6, 164N, 1133W,  22, 1008
EP, 91, 2014081700, 03, GFDN,  12, 166N, 1137W,  22, 1007
EP, 91, 2014081700, 03, GFDN,  18, 170N, 1145W,  26, 1006
EP, 91, 2014081700, 03, GFDN,  24, 172N, 1156W,  30, 1005
EP, 91, 2014081700, 03, GFDN,  30, 174N, 1169W,  29, 1005
EP, 91, 2014081700, 03, GFDN,  36, 177N, 1180W,  27, 1003
EP, 91, 2014081700, 03, GFDN,  42, 180N, 1186W,  29, 1003
EP, 91, 2014081700, 03, GFDN,  48, 184N, 1191W,  32, 1002
EP, 91, 2014081700, 03, GFDN,  54, 187N, 1197W,  26, 1003
EP, 91, 2014081700, 03, GFDN,  60, 190N, 1203W,  27, 1003
EP, 91, 2014081700, 03, GFDN,  66, 191N, 1207W,  31, 1002
EP, 91, 2014081700, 03, GFDN,  72, 189N, 1207W,  33, 1001
EP, 91, 2014081700, 03, GFDN,  78, 186N, 1203W,  40, 1000
EP, 91, 2014081700, 03, GFDN,  84, 182N, 1196W,  38,  998
EP, 91, 2014081700, 03, GFDN,  90, 180N, 1189W,  44,  996
EP, 91, 2014081700, 03, GFDN,  96, 177N, 1181W,  46,  994
EP, 91, 2014081700, 03, GFDN, 102, 174N, 1176W,  52,  993
EP, 91, 2014081700, 03, GFDN, 108, 172N, 1171W,  52,  991
EP, 91, 2014081700, 03, GFDN, 114, 171N, 1166W,  47,  991
EP, 91, 2014081700, 03, GFDN, 120, 171N, 1163W,  44,  992
EP, 91, 2014081700, 03, GFDN, 126, 172N, 1163W,  47,  993
EP, 91, 2014081700, 03, NG01, 000, 168N, 1112W,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG01, 006, 165N, 1116W,  16, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 000, 167N, 1135W,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 006, 170N, 1139W,  15, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 012, 159N, 1139W,  14, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 018, 151N, 1126W,  17, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 024, 149N, 1115W,  16, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 030, 162N, 1118W,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 036, 171N, 1121W,  30, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 042, 182N, 1133W,  29, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 048, 193N, 1145W,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 054, 203N, 1156W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 060, 210N, 1164W,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 066, 217N, 1172W,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 072, 221N, 1179W,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 91, 2014081700, 03, NG02, 078, 224N, 1183W,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
