SH, 14, 2014020618, 03, HWRF, 000, 131S,  703E,  29,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  71
SH, 14, 2014020618, 03, HWRF, 006, 140S,  708E,  47,  998, XX,  34, NEQ, 0122, 0064, 0000, 0117,    0,    0,  50
SH, 14, 2014020618, 03, HWRF, 012, 147S,  707E,  38,  998, XX,  34, NEQ, 0088, 0000, 0000, 0000,    0,    0,  60
SH, 14, 2014020618, 03, HWRF, 018, 152S,  706E,  40,  995, XX,  34, NEQ, 0102, 0098, 0075, 0190,    0,    0,  61
SH, 14, 2014020618, 03, HWRF, 024, 152S,  704E,  42,  992, XX,  34, NEQ, 0174, 0080, 0059, 0087,    0,    0,  39
SH, 14, 2014020618, 03, HWRF, 030, 151S,  711E,  55,  986, XX,  34, NEQ, 0159, 0136, 0098, 0213,    0,    0,  30
SH, 14, 2014020618, 03, HWRF, 030, 151S,  711E,  55,  986, XX,  50, NEQ, 0044, 0025, 0000, 0000,    0,    0,  30
SH, 14, 2014020618, 03, HWRF, 036, 152S,  721E,  70,  975, XX,  34, NEQ, 0157, 0179, 0109, 0171,    0,    0,  32
SH, 14, 2014020618, 03, HWRF, 036, 152S,  721E,  70,  975, XX,  50, NEQ, 0056, 0038, 0031, 0045,    0,    0,  32
SH, 14, 2014020618, 03, HWRF, 036, 152S,  721E,  70,  975, XX,  64, NEQ, 0040, 0000, 0020, 0000,    0,    0,  32
SH, 14, 2014020618, 03, HWRF, 042, 158S,  730E,  69,  973, XX,  34, NEQ, 0171, 0172, 0102, 0150,    0,    0,  20
SH, 14, 2014020618, 03, HWRF, 042, 158S,  730E,  69,  973, XX,  50, NEQ, 0046, 0054, 0046, 0044,    0,    0,  20
SH, 14, 2014020618, 03, HWRF, 042, 158S,  730E,  69,  973, XX,  64, NEQ, 0026, 0027, 0027, 0000,    0,    0,  20
SH, 14, 2014020618, 03, HWRF, 048, 163S,  741E,  82,  966, XX,  34, NEQ, 0159, 0167, 0117, 0100,    0,    0,  20
SH, 14, 2014020618, 03, HWRF, 048, 163S,  741E,  82,  966, XX,  50, NEQ, 0076, 0073, 0054, 0039,    0,    0,  20
SH, 14, 2014020618, 03, HWRF, 048, 163S,  741E,  82,  966, XX,  64, NEQ, 0000, 0041, 0041, 0031,    0,    0,  20
SH, 14, 2014020618, 03, HWRF, 054, 169S,  750E,  86,  967, XX,  34, NEQ, 0202, 0177, 0147, 0080,    0,    0,  23
SH, 14, 2014020618, 03, HWRF, 054, 169S,  750E,  86,  967, XX,  50, NEQ, 0058, 0106, 0055, 0057,    0,    0,  23
SH, 14, 2014020618, 03, HWRF, 054, 169S,  750E,  86,  967, XX,  64, NEQ, 0039, 0000, 0038, 0039,    0,    0,  23
