SH, 15, 2014021812, 03, HWRF, 000, 183S,  404E,  32,  995, XX,  34, NEQ, 0000, 0157, 0000, 0000,    0,    0, 108
SH, 15, 2014021812, 03, HWRF, 006, 191S,  400E,  45,  998, XX,  34, NEQ, 0145, 0123, 0147, 0112,    0,    0,  87
SH, 15, 2014021812, 03, HWRF, 012, 199S,  400E,  54,  995, XX,  34, NEQ, 0144, 0147, 0088, 0147,    0,    0,  63
SH, 15, 2014021812, 03, HWRF, 012, 199S,  400E,  54,  995, XX,  50, NEQ, 0000, 0066, 0000, 0000,    0,    0,  63
SH, 15, 2014021812, 03, HWRF, 018, 208S,  394E,  52,  991, XX,  34, NEQ, 0194, 0196, 0106, 0180,    0,    0,  46
SH, 15, 2014021812, 03, HWRF, 018, 208S,  394E,  52,  991, XX,  50, NEQ, 0000, 0042, 0047, 0000,    0,    0,  46
SH, 15, 2014021812, 03, HWRF, 024, 213S,  393E,  59,  983, XX,  34, NEQ, 0181, 0168, 0120, 0122,    0,    0,  33
SH, 15, 2014021812, 03, HWRF, 024, 213S,  393E,  59,  983, XX,  50, NEQ, 0000, 0049, 0049, 0041,    0,    0,  33
SH, 15, 2014021812, 03, HWRF, 030, 223S,  392E,  67,  978, XX,  34, NEQ, 0167, 0182, 0116, 0097,    0,    0,  40
SH, 15, 2014021812, 03, HWRF, 030, 223S,  392E,  67,  978, XX,  50, NEQ, 0056, 0092, 0079, 0059,    0,    0,  40
SH, 15, 2014021812, 03, HWRF, 030, 223S,  392E,  67,  978, XX,  64, NEQ, 0045, 0045, 0000, 0000,    0,    0,  40
SH, 15, 2014021812, 03, HWRF, 036, 233S,  389E,  77,  970, XX,  34, NEQ, 0186, 0169, 0116, 0106,    0,    0,  48
SH, 15, 2014021812, 03, HWRF, 036, 233S,  389E,  77,  970, XX,  50, NEQ, 0074, 0091, 0062, 0059,    0,    0,  48
SH, 15, 2014021812, 03, HWRF, 036, 233S,  389E,  77,  970, XX,  64, NEQ, 0054, 0045, 0045, 0046,    0,    0,  48
SH, 15, 2014021812, 03, HWRF, 042, 245S,  388E,  73,  969, XX,  34, NEQ, 0167, 0157, 0114, 0114,    0,    0,  42
SH, 15, 2014021812, 03, HWRF, 042, 245S,  388E,  73,  969, XX,  50, NEQ, 0081, 0081, 0071, 0060,    0,    0,  42
SH, 15, 2014021812, 03, HWRF, 042, 245S,  388E,  73,  969, XX,  64, NEQ, 0050, 0064, 0000, 0000,    0,    0,  42
SH, 15, 2014021812, 03, HWRF, 048, 259S,  384E,  78,  966, XX,  34, NEQ, 0164, 0153, 0106, 0122,    0,    0,  46
