SH, 18, 2014030918, 03, HWRF, 000, 140S, 1672E,  35,  995, XX,  34, NEQ, 0068, 0000, 0000, 0143,    0,    0,  55
SH, 18, 2014030918, 03, HWRF, 006, 146S, 1673E,  52,  993, XX,  34, NEQ, 0146, 0062, 0147, 0169,    0,    0,  47
SH, 18, 2014030918, 03, HWRF, 006, 146S, 1673E,  52,  993, XX,  50, NEQ, 0050, 0000, 0000, 0000,    0,    0,  47
SH, 18, 2014030918, 03, HWRF, 012, 148S, 1669E,  56,  991, XX,  34, NEQ, 0193, 0112, 0130, 0193,    0,    0,  68
SH, 18, 2014030918, 03, HWRF, 012, 148S, 1669E,  56,  991, XX,  50, NEQ, 0074, 0000, 0000, 0000,    0,    0,  68
SH, 18, 2014030918, 03, HWRF, 018, 148S, 1672E,  62,  985, XX,  34, NEQ, 0146, 0078, 0138, 0191,    0,    0,  64
SH, 18, 2014030918, 03, HWRF, 018, 148S, 1672E,  62,  985, XX,  50, NEQ, 0085, 0038, 0000, 0087,    0,    0,  64
SH, 18, 2014030918, 03, HWRF, 024, 152S, 1679E,  68,  983, XX,  34, NEQ, 0167, 0088, 0120, 0167,    0,    0,  57
SH, 18, 2014030918, 03, HWRF, 024, 152S, 1679E,  68,  983, XX,  50, NEQ, 0104, 0000, 0000, 0108,    0,    0,  57
SH, 18, 2014030918, 03, HWRF, 024, 152S, 1679E,  68,  983, XX,  64, NEQ, 0066, 0000, 0000, 0000,    0,    0,  57
SH, 18, 2014030918, 03, HWRF, 030, 157S, 1684E,  61,  977, XX,  34, NEQ, 0164, 0104, 0089, 0351,    0,    0,  39
SH, 18, 2014030918, 03, HWRF, 030, 157S, 1684E,  61,  977, XX,  50, NEQ, 0086, 0042, 0035, 0050,    0,    0,  39
SH, 18, 2014030918, 03, HWRF, 036, 162S, 1690E,  68,  966, XX,  34, NEQ, 0297, 0120, 0121, 0351,    0,    0,  25
SH, 18, 2014030918, 03, HWRF, 036, 162S, 1690E,  68,  966, XX,  50, NEQ, 0074, 0036, 0056, 0074,    0,    0,  25
SH, 18, 2014030918, 03, HWRF, 036, 162S, 1690E,  68,  966, XX,  64, NEQ, 0046, 0000, 0032, 0032,    0,    0,  25
SH, 18, 2014030918, 03, HWRF, 042, 168S, 1702E,  86,  960, XX,  34, NEQ, 0177, 0137, 0178, 0142,    0,    0,  33
SH, 18, 2014030918, 03, HWRF, 042, 168S, 1702E,  86,  960, XX,  50, NEQ, 0069, 0043, 0069, 0067,    0,    0,  33
SH, 18, 2014030918, 03, HWRF, 042, 168S, 1702E,  86,  960, XX,  64, NEQ, 0045, 0025, 0031, 0043,    0,    0,  33
SH, 18, 2014030918, 03, HWRF, 048, 175S, 1713E,  87,  954, XX,  34, NEQ, 0173, 0156, 0169, 0132,    0,    0,  36
SH, 18, 2014030918, 03, HWRF, 048, 175S, 1713E,  87,  954, XX,  50, NEQ, 0066, 0073, 0078, 0064,    0,    0,  36
SH, 18, 2014030918, 03, HWRF, 048, 175S, 1713E,  87,  954, XX,  64, NEQ, 0051, 0038, 0049, 0051,    0,    0,  36
SH, 18, 2014030918, 03, HWRF, 054, 183S, 1727E,  99,  945, XX,  34, NEQ, 0155, 0135, 0147, 0126,    0,    0,  28
SH, 18, 2014030918, 03, HWRF, 054, 183S, 1727E,  99,  945, XX,  50, NEQ, 0070, 0077, 0079, 0069,    0,    0,  28
SH, 18, 2014030918, 03, HWRF, 054, 183S, 1727E,  99,  945, XX,  64, NEQ, 0051, 0051, 0055, 0055,    0,    0,  28
SH, 18, 2014030918, 03, HWRF, 060, 193S, 1741E, 114,  937, XX,  34, NEQ, 0155, 0160, 0145, 0129,    0,    0,  28
SH, 18, 2014030918, 03, HWRF, 060, 193S, 1741E, 114,  937, XX,  50, NEQ, 0075, 0078, 0087, 0068,    0,    0,  28
SH, 18, 2014030918, 03, HWRF, 060, 193S, 1741E, 114,  937, XX,  64, NEQ, 0050, 0050, 0060, 0057,    0,    0,  28
SH, 18, 2014030918, 03, HWRF, 066, 205S, 1754E, 111,  935, XX,  34, NEQ, 0132, 0200, 0135, 0121,    0,    0,  24
SH, 18, 2014030918, 03, HWRF, 066, 205S, 1754E, 111,  935, XX,  50, NEQ, 0076, 0080, 0079, 0071,    0,    0,  24
SH, 18, 2014030918, 03, HWRF, 066, 205S, 1754E, 111,  935, XX,  64, NEQ, 0051, 0053, 0057, 0051,    0,    0,  24
SH, 18, 2014030918, 03, HWRF, 072, 218S, 1767E, 102,  939, XX,  34, NEQ, 0157, 0244, 0241, 0125,    0,    0,  25
SH, 18, 2014030918, 03, HWRF, 072, 218S, 1767E, 102,  939, XX,  50, NEQ, 0079, 0087, 0086, 0072,    0,    0,  25
SH, 18, 2014030918, 03, HWRF, 072, 218S, 1767E, 102,  939, XX,  64, NEQ, 0057, 0054, 0051, 0049,    0,    0,  25
SH, 18, 2014030918, 03, HWRF, 078, 235S, 1775E,  98,  940, XX,  34, NEQ, 0155, 0319, 0288, 0240,    0,    0,  20
SH, 18, 2014030918, 03, HWRF, 078, 235S, 1775E,  98,  940, XX,  50, NEQ, 0081, 0109, 0077, 0058,    0,    0,  20
SH, 18, 2014030918, 03, HWRF, 078, 235S, 1775E,  98,  940, XX,  64, NEQ, 0056, 0072, 0055, 0039,    0,    0,  20
SH, 18, 2014030918, 03, HWRF, 084, 249S, 1780E,  80,  951, XX,  34, NEQ, 0142, 0351, 0275, 0289,    0,    0,  32
SH, 18, 2014030918, 03, HWRF, 084, 249S, 1780E,  80,  951, XX,  50, NEQ, 0076, 0114, 0101, 0071,    0,    0,  32
SH, 18, 2014030918, 03, HWRF, 084, 249S, 1780E,  80,  951, XX,  64, NEQ, 0054, 0054, 0047, 0054,    0,    0,  32
SH, 18, 2014030918, 03, HWRF, 090, 265S, 1781E,  80,  955, XX,  34, NEQ, 0250, 0351, 0256, 0228,    0,    0,  34
SH, 18, 2014030918, 03, HWRF, 090, 265S, 1781E,  80,  955, XX,  50, NEQ, 0094, 0149, 0086, 0063,    0,    0,  34
SH, 18, 2014030918, 03, HWRF, 090, 265S, 1781E,  80,  955, XX,  64, NEQ, 0052, 0056, 0052, 0050,    0,    0,  34
SH, 18, 2014030918, 03, HWRF, 096, 280S, 1779E,  66,  963, XX,  34, NEQ, 0350, 0350, 0254, 0218,    0,    0,  76
SH, 18, 2014030918, 03, HWRF, 096, 280S, 1779E,  66,  963, XX,  50, NEQ, 0095, 0169, 0123, 0082,    0,    0,  76
SH, 18, 2014030918, 03, HWRF, 096, 280S, 1779E,  66,  963, XX,  64, NEQ, 0000, 0082, 0052, 0000,    0,    0,  76
SH, 18, 2014030918, 03, HWRF, 102, 295S, 1774E,  71,  964, XX,  34, NEQ, 0351, 0350, 0264, 0201,    0,    0,  68
