WP, 03, 2013060812, 03, HWRF, 000, 176N, 1300E,  26, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
WP, 03, 2013060812, 03, HWRF, 006, 186N, 1303E,  51,  996, XX,  34, NEQ, 0100, 0115, 0129, 0000,    0,    0,  81
WP, 03, 2013060812, 03, HWRF, 006, 186N, 1303E,  51,  996, XX,  50, NEQ, 0000, 0081, 0000, 0000,    0,    0,  81
WP, 03, 2013060812, 03, HWRF, 012, 195N, 1309E,  49,  994, XX,  34, NEQ, 0127, 0155, 0150, 0058,    0,    0,  82
WP, 03, 2013060812, 03, HWRF, 018, 204N, 1320E,  60,  985, XX,  34, NEQ, 0128, 0143, 0088, 0081,    0,    0,  43
WP, 03, 2013060812, 03, HWRF, 018, 204N, 1320E,  60,  985, XX,  50, NEQ, 0047, 0058, 0055, 0000,    0,    0,  43
WP, 03, 2013060812, 03, HWRF, 024, 213N, 1324E,  58,  980, XX,  34, NEQ, 0127, 0146, 0093, 0116,    0,    0,  22
WP, 03, 2013060812, 03, HWRF, 024, 213N, 1324E,  58,  980, XX,  50, NEQ, 0067, 0105, 0049, 0040,    0,    0,  22
WP, 03, 2013060812, 03, HWRF, 030, 220N, 1328E,  65,  975, XX,  34, NEQ, 0119, 0148, 0108, 0102,    0,    0,  40
WP, 03, 2013060812, 03, HWRF, 030, 220N, 1328E,  65,  975, XX,  50, NEQ, 0071, 0101, 0052, 0046,    0,    0,  40
WP, 03, 2013060812, 03, HWRF, 030, 220N, 1328E,  65,  975, XX,  64, NEQ, 0000, 0042, 0000, 0000,    0,    0,  40
WP, 03, 2013060812, 03, HWRF, 036, 228N, 1332E,  73,  974, XX,  34, NEQ, 0132, 0138, 0128, 0119,    0,    0,  35
WP, 03, 2013060812, 03, HWRF, 036, 228N, 1332E,  73,  974, XX,  50, NEQ, 0069, 0093, 0061, 0044,    0,    0,  35
WP, 03, 2013060812, 03, HWRF, 036, 228N, 1332E,  73,  974, XX,  64, NEQ, 0051, 0047, 0000, 0000,    0,    0,  35
WP, 03, 2013060812, 03, HWRF, 042, 238N, 1336E,  77,  967, XX,  34, NEQ, 0142, 0144, 0135, 0112,    0,    0,  50
WP, 03, 2013060812, 03, HWRF, 042, 238N, 1336E,  77,  967, XX,  50, NEQ, 0085, 0093, 0065, 0059,    0,    0,  50
WP, 03, 2013060812, 03, HWRF, 042, 238N, 1336E,  77,  967, XX,  64, NEQ, 0058, 0059, 0055, 0042,    0,    0,  50
WP, 03, 2013060812, 03, HWRF, 048, 248N, 1340E,  86,  963, XX,  34, NEQ, 0158, 0174, 0107, 0120,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 048, 248N, 1340E,  86,  963, XX,  50, NEQ, 0096, 0104, 0057, 0069,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 048, 248N, 1340E,  86,  963, XX,  64, NEQ, 0069, 0066, 0045, 0051,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 054, 259N, 1342E,  80,  962, XX,  34, NEQ, 0156, 0175, 0109, 0117,    0,    0,  43
WP, 03, 2013060812, 03, HWRF, 054, 259N, 1342E,  80,  962, XX,  50, NEQ, 0096, 0101, 0064, 0069,    0,    0,  43
WP, 03, 2013060812, 03, HWRF, 054, 259N, 1342E,  80,  962, XX,  64, NEQ, 0070, 0075, 0048, 0052,    0,    0,  43
WP, 03, 2013060812, 03, HWRF, 060, 269N, 1342E,  70,  967, XX,  34, NEQ, 0147, 0174, 0114, 0123,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 060, 269N, 1342E,  70,  967, XX,  50, NEQ, 0078, 0087, 0080, 0068,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 060, 269N, 1342E,  70,  967, XX,  64, NEQ, 0059, 0066, 0000, 0054,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 066, 282N, 1342E,  71,  971, XX,  34, NEQ, 0151, 0136, 0106, 0106,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 066, 282N, 1342E,  71,  971, XX,  50, NEQ, 0089, 0088, 0060, 0057,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 066, 282N, 1342E,  71,  971, XX,  64, NEQ, 0062, 0052, 0000, 0038,    0,    0,  42
WP, 03, 2013060812, 03, HWRF, 072, 291N, 1341E,  63,  977, XX,  34, NEQ, 0165, 0128, 0100, 0116,    0,    0,  46
WP, 03, 2013060812, 03, HWRF, 072, 291N, 1341E,  63,  977, XX,  50, NEQ, 0089, 0089, 0000, 0059,    0,    0,  46
WP, 03, 2013060812, 03, HWRF, 078, 301N, 1339E,  55,  980, XX,  34, NEQ, 0178, 0123, 0087, 0126,    0,    0,  45
WP, 03, 2013060812, 03, HWRF, 078, 301N, 1339E,  55,  980, XX,  50, NEQ, 0075, 0075, 0000, 0045,    0,    0,  45
WP, 03, 2013060812, 03, HWRF, 084, 310N, 1339E,  50,  986, XX,  34, NEQ, 0175, 0106, 0076, 0126,    0,    0,  52
WP, 03, 2013060812, 03, HWRF, 090, 318N, 1336E,  43,  988, XX,  34, NEQ, 0125, 0110, 0084, 0092,    0,    0,  86
WP, 03, 2013060812, 03, HWRF, 096, 325N, 1339E,  39,  993, XX,  34, NEQ, 0119, 0120, 0000, 0000,    0,    0,  54
WP, 03, 2013060812, 03, HWRF, 102, 334N, 1346E,  34,  996, XX,  34, NEQ, 0000, 0081, 0000, 0000,    0,    0,  77
WP, 03, 2013060812, 03, HWRF, 108, 345N, 1347E,  34, 1001, XX,  34, NEQ, 0000, 0085, 0000, 0000,    0,    0,  85
WP, 03, 2013060812, 03, HWRF, 114, 361N, 1345E,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  96
WP, 03, 2013060812, 03, HWRF, 120, 371N, 1345E,  18, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
WP, 03, 2013060812, 03, HWRF, 126, 384N, 1352E,  17, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  70
WP, 03, 2013060818, 03, HWRF, 000, 189N, 1310E,  34,  995, XX,  34, NEQ, 0000, 0083, 0000, 0000,    0,    0,  81
WP, 03, 2013060818, 03, HWRF, 006, 199N, 1313E,  49,  993, XX,  34, NEQ, 0129, 0162, 0126, 0017,    0,    0,  71
WP, 03, 2013060818, 03, HWRF, 012, 207N, 1324E,  60,  988, XX,  34, NEQ, 0121, 0127, 0063, 0065,    0,    0,  40
WP, 03, 2013060818, 03, HWRF, 012, 207N, 1324E,  60,  988, XX,  50, NEQ, 0022, 0041, 0045, 0000,    0,    0,  40
WP, 03, 2013060818, 03, HWRF, 018, 217N, 1330E,  65,  982, XX,  34, NEQ, 0126, 0146, 0067, 0096,    0,    0,  39
WP, 03, 2013060818, 03, HWRF, 018, 217N, 1330E,  65,  982, XX,  50, NEQ, 0068, 0055, 0000, 0000,    0,    0,  39
WP, 03, 2013060818, 03, HWRF, 018, 217N, 1330E,  65,  982, XX,  64, NEQ, 0000, 0042, 0000, 0000,    0,    0,  39
WP, 03, 2013060818, 03, HWRF, 024, 223N, 1335E,  67,  978, XX,  34, NEQ, 0141, 0149, 0071, 0104,    0,    0,  35
WP, 03, 2013060818, 03, HWRF, 024, 223N, 1335E,  67,  978, XX,  50, NEQ, 0070, 0071, 0038, 0000,    0,    0,  35
WP, 03, 2013060818, 03, HWRF, 024, 223N, 1335E,  67,  978, XX,  64, NEQ, 0000, 0047, 0000, 0000,    0,    0,  35
WP, 03, 2013060818, 03, HWRF, 030, 233N, 1340E,  69,  974, XX,  34, NEQ, 0146, 0172, 0095, 0111,    0,    0,  47
WP, 03, 2013060818, 03, HWRF, 030, 233N, 1340E,  69,  974, XX,  50, NEQ, 0076, 0083, 0053, 0034,    0,    0,  47
WP, 03, 2013060818, 03, HWRF, 030, 233N, 1340E,  69,  974, XX,  64, NEQ, 0039, 0050, 0000, 0000,    0,    0,  47
WP, 03, 2013060818, 03, HWRF, 036, 244N, 1346E,  74,  968, XX,  34, NEQ, 0156, 0164, 0113, 0108,    0,    0,  42
WP, 03, 2013060818, 03, HWRF, 036, 244N, 1346E,  74,  968, XX,  50, NEQ, 0086, 0079, 0057, 0063,    0,    0,  42
WP, 03, 2013060818, 03, HWRF, 036, 244N, 1346E,  74,  968, XX,  64, NEQ, 0042, 0051, 0041, 0000,    0,    0,  42
WP, 03, 2013060818, 03, HWRF, 042, 255N, 1350E,  77,  968, XX,  34, NEQ, 0163, 0167, 0107, 0105,    0,    0,  35
WP, 03, 2013060818, 03, HWRF, 042, 255N, 1350E,  77,  968, XX,  50, NEQ, 0100, 0100, 0059, 0057,    0,    0,  35
WP, 03, 2013060818, 03, HWRF, 042, 255N, 1350E,  77,  968, XX,  64, NEQ, 0042, 0050, 0048, 0000,    0,    0,  35
WP, 03, 2013060818, 03, HWRF, 048, 269N, 1352E,  69,  966, XX,  34, NEQ, 0166, 0187, 0117, 0126,    0,    0,  37
WP, 03, 2013060818, 03, HWRF, 048, 269N, 1352E,  69,  966, XX,  50, NEQ, 0103, 0093, 0056, 0061,    0,    0,  37
WP, 03, 2013060818, 03, HWRF, 048, 269N, 1352E,  69,  966, XX,  64, NEQ, 0058, 0050, 0000, 0045,    0,    0,  37
WP, 03, 2013060818, 03, HWRF, 054, 282N, 1354E,  67,  971, XX,  34, NEQ, 0165, 0181, 0107, 0120,    0,    0,  46
WP, 03, 2013060818, 03, HWRF, 054, 282N, 1354E,  67,  971, XX,  50, NEQ, 0083, 0092, 0060, 0069,    0,    0,  46
WP, 03, 2013060818, 03, HWRF, 054, 282N, 1354E,  67,  971, XX,  64, NEQ, 0053, 0058, 0000, 0048,    0,    0,  46
WP, 03, 2013060818, 03, HWRF, 060, 297N, 1354E,  65,  973, XX,  34, NEQ, 0150, 0153, 0098, 0102,    0,    0,  44
WP, 03, 2013060818, 03, HWRF, 060, 297N, 1354E,  65,  973, XX,  50, NEQ, 0099, 0094, 0057, 0064,    0,    0,  44
WP, 03, 2013060818, 03, HWRF, 060, 297N, 1354E,  65,  973, XX,  64, NEQ, 0052, 0000, 0000, 0000,    0,    0,  44
WP, 03, 2013060818, 03, HWRF, 066, 308N, 1351E,  57,  979, XX,  34, NEQ, 0154, 0129, 0091, 0131,    0,    0,  51
WP, 03, 2013060818, 03, HWRF, 066, 308N, 1351E,  57,  979, XX,  50, NEQ, 0083, 0066, 0000, 0063,    0,    0,  51
WP, 03, 2013060818, 03, HWRF, 072, 317N, 1349E,  54,  982, XX,  34, NEQ, 0133, 0109, 0090, 0108,    0,    0,  52
WP, 03, 2013060818, 03, HWRF, 072, 317N, 1349E,  54,  982, XX,  50, NEQ, 0066, 0000, 0000, 0000,    0,    0,  52
WP, 03, 2013060818, 03, HWRF, 078, 324N, 1348E,  51,  987, XX,  34, NEQ, 0195, 0105, 0077, 0066,    0,    0,  44
WP, 03, 2013060818, 03, HWRF, 078, 324N, 1348E,  51,  987, XX,  50, NEQ, 0050, 0000, 0000, 0000,    0,    0,  44
WP, 03, 2013060818, 03, HWRF, 084, 331N, 1348E,  40,  990, XX,  34, NEQ, 0159, 0088, 0000, 0000,    0,    0,  47
