WP, 17, 2013091618, 03, HWRF, 000,   0 ,    0 ,   0,    0, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, -99
WP, 17, 2013091618, 03, HWRF, 006, 185N, 1301E,  28, 1000, XX,  34, NEQ, 0000, 0216, 0000, 0000,    0,    0, 108
WP, 17, 2013091618, 03, HWRF, 012, 182N, 1297E,  38,  998, XX,  34, NEQ, 0000, 0000, 0085, 0000,    0,    0,  80
WP, 17, 2013091618, 03, HWRF, 018, 176N, 1299E,  38,  996, XX,  34, NEQ, 0000, 0000, 0107, 0000,    0,    0,  47
WP, 17, 2013091618, 03, HWRF, 024, 173N, 1298E,  45,  992, XX,  34, NEQ, 0070, 0074, 0099, 0073,    0,    0,  59
WP, 17, 2013091618, 03, HWRF, 030, 169N, 1297E,  40,  991, XX,  34, NEQ, 0073, 0099, 0100, 0067,    0,    0,  43
WP, 17, 2013091618, 03, HWRF, 036, 171N, 1298E,  55,  985, XX,  34, NEQ, 0098, 0116, 0137, 0078,    0,    0,  33
WP, 17, 2013091618, 03, HWRF, 036, 171N, 1298E,  55,  985, XX,  50, NEQ, 0000, 0041, 0040, 0000,    0,    0,  33
WP, 17, 2013091618, 03, HWRF, 042, 174N, 1295E,  57,  981, XX,  34, NEQ, 0130, 0122, 0094, 0114,    0,    0,  48
WP, 17, 2013091618, 03, HWRF, 042, 174N, 1295E,  57,  981, XX,  50, NEQ, 0056, 0000, 0036, 0057,    0,    0,  48
WP, 17, 2013091618, 03, HWRF, 048, 175N, 1288E,  60,  972, XX,  34, NEQ, 0177, 0144, 0140, 0145,    0,    0,  44
WP, 17, 2013091618, 03, HWRF, 048, 175N, 1288E,  60,  972, XX,  50, NEQ, 0063, 0046, 0049, 0050,    0,    0,  44
WP, 17, 2013091618, 03, HWRF, 054, 176N, 1281E,  59,  970, XX,  34, NEQ, 0200, 0151, 0150, 0145,    0,    0,  36
WP, 17, 2013091618, 03, HWRF, 054, 176N, 1281E,  59,  970, XX,  50, NEQ, 0080, 0067, 0079, 0083,    0,    0,  36
WP, 17, 2013091618, 03, HWRF, 060, 176N, 1277E,  76,  961, XX,  34, NEQ, 0217, 0183, 0183, 0208,    0,    0,  30
WP, 17, 2013091618, 03, HWRF, 060, 176N, 1277E,  76,  961, XX,  50, NEQ, 0084, 0069, 0100, 0103,    0,    0,  30
WP, 17, 2013091618, 03, HWRF, 060, 176N, 1277E,  76,  961, XX,  64, NEQ, 0033, 0048, 0048, 0045,    0,    0,  30
WP, 17, 2013091618, 03, HWRF, 066, 179N, 1271E,  87,  957, XX,  34, NEQ, 0216, 0289, 0285, 0214,    0,    0,  35
WP, 17, 2013091618, 03, HWRF, 066, 179N, 1271E,  87,  957, XX,  50, NEQ, 0084, 0102, 0111, 0112,    0,    0,  35
WP, 17, 2013091618, 03, HWRF, 066, 179N, 1271E,  87,  957, XX,  64, NEQ, 0050, 0065, 0055, 0058,    0,    0,  35
WP, 17, 2013091618, 03, HWRF, 072, 182N, 1268E,  86,  952, XX,  34, NEQ, 0213, 0305, 0298, 0210,    0,    0,  31
WP, 17, 2013091618, 03, HWRF, 072, 182N, 1268E,  86,  952, XX,  50, NEQ, 0091, 0092, 0112, 0114,    0,    0,  31
WP, 17, 2013091618, 03, HWRF, 072, 182N, 1268E,  86,  952, XX,  64, NEQ, 0064, 0070, 0071, 0055,    0,    0,  31
WP, 17, 2013091618, 03, HWRF, 078, 189N, 1261E,  90,  950, XX,  34, NEQ, 0203, 0328, 0328, 0194,    0,    0,  31
WP, 17, 2013091618, 03, HWRF, 078, 189N, 1261E,  90,  950, XX,  50, NEQ, 0108, 0103, 0106, 0096,    0,    0,  31
WP, 17, 2013091618, 03, HWRF, 078, 189N, 1261E,  90,  950, XX,  64, NEQ, 0074, 0072, 0081, 0072,    0,    0,  31
WP, 17, 2013091618, 03, HWRF, 084, 194N, 1253E,  94,  942, XX,  34, NEQ, 0192, 0349, 0307, 0183,    0,    0,  43
WP, 17, 2013091618, 03, HWRF, 084, 194N, 1253E,  94,  942, XX,  50, NEQ, 0104, 0106, 0103, 0100,    0,    0,  43
WP, 17, 2013091618, 03, HWRF, 084, 194N, 1253E,  94,  942, XX,  64, NEQ, 0060, 0078, 0070, 0071,    0,    0,  43
