SH, 23, 2014040418,   , BEST,   0, 113S, 1559E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1007,  205,  40,   0,   0,   P,   0,   X, 265,   6,  TWENTY-TH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040500,   , BEST,   0, 116S, 1559E,  40,  993, XX,  34, NEQ,   40,   45,   45,   40, 1007,  210,  40,   0,   0,   P,   0,   X, 250,   4,  TWENTY-TH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040506,   , BEST,   0, 118S, 1557E,  45,  989, XX,  34, NEQ,   40,   45,   45,   40, 1004,  190,  40,   0,   0,   P,   0,   X, 235,   3,  TWENTY-TH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040512,   , BEST,   0, 120S, 1556E,  45,  989, XX,  34, NEQ,   40,   45,   45,   40, 1007,  190,  40,   0,   0,   P,   0,   X, 225,   3,  TWENTY-TH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040518,   , BEST,   0, 122S, 1549E,  45,  989, XX,  34, NEQ,   45,   60,   55,   40, 1007,  185,  35,   0,   0,   P,   0,   X, 240,   4,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040518,   , BEST,   0, 120S, 1549E,  45,  989, XX,  34, NEQ,   45,   60,   55,   40, 1007,  185,  35,   0,   0,   P,   0,   X, 250,   4,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040600,   , BEST,   0, 121S, 1544E,  45,  989, XX,  34, NEQ,   60,   80,   70,   55, 1006,  180,  35,   0,   0,   P,   0,   X, 255,   4,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040606,   , BEST,   0, 121S, 1539E,  45,  989, XX,  34, NEQ,   60,   80,   70,   55, 1005,  180,  35,   0,   0,   P,   0,   X, 265,   5,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040612,   , BEST,   0, 121S, 1536E,  45,  994, XX,  34, NEQ,   55,   60,   60,   55, 1008,  180,  35,   0,   0,   P,   0,   X, 270,   4,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040618,   , BEST,   0, 123S, 1535E,  45,  989, XX,  34, NEQ,   75,   85,   80,   70, 1008,  195,  35,   0,   0,   P,   0,   X, 255,   3,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040700,   , BEST,   0, 123S, 1534E,  45,  989, XX,  34, NEQ,   75,   85,   80,   70, 1006,  200,  35,   0,   0,   P,   0,   X, 255,   2,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040706,   , BEST,   0, 121S, 1535E,  45,  989, XX,  34, NEQ,   75,   85,   80,   70, 1005,  200,  35,   0,   0,   P,   0,   X, 290,   1,        ITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040712,   , BEST,   0, 119S, 1535E,  55,  982, XX,  34, NEQ,   75,   85,   80,   70, 1007,  200,  30,   0,   0,   P,   0,   X, 345,   1,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040718,   , BEST,   0, 117S, 1532E,  55,  982, XX,  34, NEQ,   80,   90,   90,   80, 1007,  170,  30,   0,   0,   P,   0,   X, 340,   2,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040800,   , BEST,   0, 116S, 1528E,  65,  974, XX,  34, NEQ,   80,   90,   90,   80, 1006,  170,  30,   0,   0,   P,   0,   X, 305,   3,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040806,   , BEST,   0, 115S, 1525E,  65,  974, XX,  34, NEQ,   80,  100,  110,   80, 1003,  170,  30,   0,   0,   P,   0,   X, 290,   4,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040812,   , BEST,   0, 115S, 1522E,  65,  974, XX,  34, NEQ,   80,  100,  110,   80, 1006,  180,  30,   0,   0,   P,   0,   X, 280,   3,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040818,   , BEST,   0, 114S, 1520E,  70,  970, XX,  34, NEQ,   90,  110,  110,   90, 1006,  180,  20,   0,   0,   P,   0,   X, 285,   3,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040900,   , BEST,   0, 115S, 1514E,  75,  967, XX,  34, NEQ,   95,  115,  115,   95, 1004,  160,  20,   0,   0,   P,   0,   X, 270,   4,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
SH, 23, 2014040912,   , BEST,   0, 114S, 1493E,  90,  956, XX,  34, NEQ,  110,  125,  130,  105, 1003,  195,  20,   0,   0,   P,   0,   X, 270,   8,        ITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH232014, JTWC, NCEP_TCVITALS, 
