WP, 03, 2014022800,   , BEST,   0, 090N, 1470E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  40,   0,   0,   W,   0,   X, 295,   4,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014022806,   , BEST,   0, 098N, 1479E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  220,  40,   0,   0,   W,   0,   X,  10,   4,      THREE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014022812,   , BEST,   0, 089N, 1489E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  230,  40,   0,   0,   W,   0,   X,  50,   3,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014022818,   , BEST,   0, 088N, 1493E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  230,  40,   0,   0,   W,   0,   X,  65,   3,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014030100,   , BEST,   0, 084N, 1495E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  230,  40,   0,   0,   W,   0,   X, 100,   2,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014030106,   , BEST,   0, 087N, 1498E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1002,  200,  40,   0,   0,   W,   0,   X,  75,   3,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014030112,   , BEST,   0, 091N, 1499E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  200,  40,   0,   0,   W,   0,   X,  50,   3,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014030118,   , BEST,   0, 096N, 1498E,  45,  989, XX,  34, NEQ,   45,   45,   40,   40, 1004,  200,  35,   0,   0,   W,   0,   X,  15,   4,      FAXAI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014030200,   , BEST,   0, 097N, 1493E,  50,  985, XX,  34, NEQ,   60,   60,   55,   55, 1002,  210,  35,   0,   0,   W,   0,   X, 335,   4,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014030206,   , BEST,   0, 094N, 1485E,  50,  985, XX,  34, NEQ,   60,   60,   55,   55, 1002,  210,  35,   0,   0,   W,   0,   X, 280,   5,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
WP, 03, 2014030212,   , BEST,   0, 103N, 1495E,  45,  989, XX,  34, NEQ,   60,   60,   55,   55, 1002,  210,  35,   0,   0,   W,   0,   X, 345,   3,      FAXAI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP032014, JTWC, NCEP_TCVITALS, 
