WP, 08, 2014070300,   , BEST,   0, 089N, 1468E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  210,  50,   0,   0,   W,   0,   X, 285,   7,      EIGHT, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070306,   , BEST,   0, 096N, 1447E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  210,  50,   0,   0,   W,   0,   X, 285,  12,      EIGHT, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070312,   , BEST,   0, 108N, 1439E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  210,  50,   0,   0,   W,   0,   X, 300,  12,      EIGHT, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070318,   , BEST,   0, 115N, 1433E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  220,  65,   0,   0,   W,   0,   X, 310,  11,      EIGHT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070400,   , BEST,   0, 125N, 1422E,  45,  989, XX,  34, NEQ,   30,   30,   25,   25, 1004,  220,  30,   0,   0,   W,   0,   X, 315,  12,      EIGHT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070406,   , BEST,   0, 131N, 1414E,  55,  982, XX,  34, NEQ,  110,   90,   90,  110, 1005,  220,  30,   0,   0,   W,   0,   X, 315,  11,    NEOGURI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070412,   , BEST,   0, 137N, 1404E,  60,  978, XX,  34, NEQ,  110,   90,   90,  110, 1005,  220,  30,   0,   0,   W,   0,   X, 310,  11,    NEOGURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070418,   , BEST,   0, 146N, 1391E,  65,  974, XX,  34, NEQ,  115,   90,  100,  125, 1005,  230,  30,   0,   0,   W,   0,   X, 305,  13,    NEOGURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070500,   , BEST,   0, 153N, 1382E,  90,  956, XX,  34, NEQ,  135,  110,  120,  145, 1005,  240,  17,   0,   0,   W,   0,   X, 305,  13,    NEOGURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070506,   , BEST,   0, 160N, 1370E, 115,  937, XX,  34, NEQ,  135,  110,  120,  145, 1004,  240,  17,   0,   0,   W,   0,   X, 305,  13,    NEOGURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
WP, 08, 2014070512,   , BEST,   0, 167N, 1358E, 115,  937, XX,  34, NEQ,  135,  110,  120,  145, 1004,  240,  17,   0,   0,   W,   0,   X, 305,  13,    NEOGURI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP082014, JTWC, NCEP_TCVITALS, 
