WP, 18, 2014092818,   , BEST,   0, 124N, 1533E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  200,  40,   0,   0,   W,   0,   X, 295,  19,   EIGHTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014092900,   , BEST,   0, 125N, 1522E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  40,   0,   0,   W,   0,   X, 290,  17,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014092906,   , BEST,   0, 132N, 1510E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  40,   0,   0,   W,   0,   X, 295,  14,   EIGHTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014092912,   , BEST,   0, 135N, 1501E,  40,  993, XX,  34, NEQ,   50,   45,   45,   50, 1006,  190,  35,   0,   0,   W,   0,   X, 290,  11,   PHANFONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014092918,   , BEST,   0, 141N, 1495E,  45,  989, XX,  34, NEQ,   65,   60,   60,   65, 1005,  190,  30,   0,   0,   W,   0,   X, 295,  10,   PHANFONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014093000,   , BEST,   0, 154N, 1483E,  45,  989, XX,  34, NEQ,   85,   75,   75,   85, 1003,  175,  30,   0,   0,   W,   0,   X, 310,  12,   PHANFONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014093006,   , BEST,   0, 166N, 1472E,  40,  993, XX,  34, NEQ,   85,   75,   75,   85, 1003,  175,  30,   0,   0,   W,   0,   X, 315,  14,   PHANFONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014093012,   , BEST,   0, 169N, 1455E,  45,  989, XX,  34, NEQ,   85,   75,   75,   85, 1003,  175,  30,   0,   0,   W,   0,   X, 300,  15,   PHANFONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014093018,   , BEST,   0, 166N, 1444E,  50,  985, XX,  34, NEQ,   90,   70,   70,   85, 1005,  200,  30,   0,   0,   W,   0,   X, 290,  13,   PHANFONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014100100,   , BEST,   0, 167N, 1436E,  65,  974, XX,  34, NEQ,   90,   70,   70,   85, 1004,  200,  30,   0,   0,   W,   0,   X, 280,  11,   PHANFONE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014100106,   , BEST,   0, 180N, 1425E,  65,  974, XX,  34, NEQ,   90,   70,   70,   85, 1004,  200,  30,   0,   0,   W,   0,   X, 300,  10,   PHANFONE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014100112,   , BEST,   0, 190N, 1414E,  70,  970, XX,  34, NEQ,  100,   80,   80,   90, 1004,  220,  30,   0,   0,   W,   0,   X, 310,  12,   PHANFONE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
WP, 18, 2014100118,   , BEST,   0, 189N, 1403E,  75,  967, XX,  34, NEQ,  100,   80,   80,   90, 1003,  300,  25,   0,   0,   W,   0,   X, 300,  13,   PHANFONE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP182014, JTWC, NCEP_TCVITALS, 
