WP, 19, 2014100218,   , BEST,   0, 078N, 1605E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  50,   0,   0,   W,   0,   X, 295,  11,   NONETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100300,   , BEST,   0, 080N, 1595E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  50,   0,   0,   W,   0,   X, 290,  10,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100306,   , BEST,   0, 083N, 1585E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  45,   0,   0,   W,   0,   X, 290,  10,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100312,   , BEST,   0, 088N, 1575E,  40,  993, XX,  34, NEQ,   45,   40,   40,   45, 1006,  160,  35,   0,   0,   W,   0,   X, 290,  10,   NINETEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100318,   , BEST,   0, 091N, 1563E,  45,  989, XX,  34, NEQ,   45,   40,   40,   45, 1006,  160,  35,   0,   0,   W,   0,   X, 290,  11,   VONGFONG, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100400,   , BEST,   0, 097N, 1551E,  55,  982, XX,  34, NEQ,   45,   40,   40,   45, 1005,  180,  30,   0,   0,   W,   0,   X, 295,  12,   VONGFONG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100406,   , BEST,   0, 104N, 1539E,  60,  978, XX,  34, NEQ,   55,   60,   60,   50, 1005,  180,  30,   0,   0,   W,   0,   X, 295,  13,   VONGFONG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100412,   , BEST,   0, 113N, 1530E,  65,  974, XX,  34, NEQ,   55,   60,   60,   50, 1005,  180,  30,   0,   0,   W,   0,   X, 305,  13,   VONGFONG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100418,   , BEST,   0, 119N, 1516E,  65,  974, XX,  34, NEQ,   55,   60,   60,   50, 1006,  200,  30,   0,   0,   W,   0,   X, 305,  14,   VONGFONG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100500,   , BEST,   0, 126N, 1499E,  70,  970, XX,  34, NEQ,   65,   60,   60,   65, 1007,  265,  20,   0,   0,   W,   0,   X, 300,  16,   VONGFONG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
WP, 19, 2014100506,   , BEST,   0, 134N, 1479E,  90,  956, XX,  34, NEQ,  100,  100,  115,   95, 1007,  265,  20,   0,   0,   W,   0,   X, 295,  18,   VONGFONG, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192014, JTWC, NCEP_TCVITALS, 
