WP, 22, 2014120100,   , BEST,   0, 038N, 1540E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  60,   0,   0,   W,   0,   X, 295,  10,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120106,   , BEST,   0, 049N, 1521E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  40,   0,   0,   W,   0,   X, 300,  14,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120112,   , BEST,   0, 055N, 1507E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  40,   0,   0,   W,   0,   X, 295,  14,    HAGUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120118,   , BEST,   0, 059N, 1491E,  45,  989, XX,  34, NEQ,   50,   45,   45,   50, 1005,  175,  40,   0,   0,   W,   0,   X, 290,  15,    HAGUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120200,   , BEST,   0, 059N, 1470E,  55,  982, XX,  34, NEQ,   55,   50,   50,   55, 1005,  175,  10,   0,   0,   W,   0,   X, 280,  17,    HAGUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120206,   , BEST,   0, 062N, 1451E,  60,  978, XX,  34, NEQ,   55,   50,   50,   55, 1004,  185,  10,   0,   0,   W,   0,   X, 275,  19,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120212,   , BEST,   0, 061N, 1435E,  70,  970, XX,  34, NEQ,   90,   70,   55,   95, 1007,  185,  10,   0,   0,   W,   0,   X, 270,  19,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120218,   , BEST,   0, 066N, 1421E,  85,  959, XX,  34, NEQ,  110,   90,   85,  110, 1006,  195,  10,   0,   0,   W,   0,   X, 280,  16,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120300,   , BEST,   0, 075N, 1405E,  90,  956, XX,  34, NEQ,  120,   90,   85,  120, 1006,  195,  10,   0,   0,   W,   0,   X, 290,  16,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120306,   , BEST,   0, 083N, 1386E, 100,  948, XX,  34, NEQ,  120,   90,   85,  120, 1005,  195,  10,   0,   0,   W,   0,   X, 295,  18,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
WP, 22, 2014120312,   , BEST,   0, 087N, 1368E, 100,  948, XX,  34, NEQ,  120,   90,   85,  120, 1007,  195,  10,   0,   0,   W,   0,   X, 290,  19,    HAGUPIT, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP222014, JTWC, NCEP_TCVITALS, 
