IO, 04, 2015102906, 03, GFDN,   0, 138N,  639E,  60,  988
IO, 04, 2015102906, 03, GFDN,   6, 140N,  632E,  82,  977
IO, 04, 2015102906, 03, GFDN,  12, 141N,  627E,  58,  986
IO, 04, 2015102906, 03, GFDN,  18, 142N,  622E,  72,  981
IO, 04, 2015102906, 03, GFDN,  24, 142N,  617E,  77,  974
IO, 04, 2015102906, 03, GFDN,  30, 142N,  612E,  83,  969
IO, 04, 2015102906, 03, GFDN,  36, 142N,  606E,  79,  973
IO, 04, 2015102906, 03, GFDN,  42, 142N,  599E,  74,  973
IO, 04, 2015102906, 03, GFDN,  48, 143N,  591E,  83,  969
IO, 04, 2015102906, 03, GFDN,  54, 143N,  583E,  86,  966
IO, 04, 2015102906, 03, GFDN,  60, 144N,  576E,  83,  967
IO, 04, 2015102906, 03, GFDN,  66, 145N,  567E,  89,  965
IO, 04, 2015102906, 03, GFDN,  72, 147N,  560E,  84,  964
IO, 04, 2015102906, 03, GFDN,  78, 149N,  553E,  88,  964
IO, 04, 2015102906, 03, GFDN,  84, 151N,  546E,  86,  962
IO, 04, 2015102906, 03, GFDN,  90, 154N,  539E,  88,  963
IO, 04, 2015102906, 03, GFDN,  96, 158N,  531E,  86,  966
IO, 04, 2015102906, 03, GFDN, 102, 162N,  523E,  74,  973
IO, 04, 2015102906, 03, GFDN, 108, 164N,  516E,  51,  984
IO, 04, 2015102906, 03, GFDN, 114, 171N,  509E,  43,  991
IO, 04, 2015102906, 03, GFDN, 120, 179N,  503E,  38,  998
IO, 04, 2015102906, 03, GFDN, 126, 186N,  498E,  31, 1000
IO, 04, 2015102912, 03, COTC, 000, 143N,  631E,  64,  984, XX,  34, NEQ, 0134, 0076, 0058, 0136,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 000, 143N,  631E,  64,  984, XX,  50, NEQ, 0038, 0037, 0029, 0035,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 000, 143N,  631E,  64,  984, XX,  64, NEQ, 0020, 0000, 0000, 0000,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 006, 145N,  626E,  62,  988, XX,  34, NEQ, 0076, 0073, 0050, 0113,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 006, 145N,  626E,  62,  988, XX,  50, NEQ, 0034, 0033, 0000, 0027,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 012, 148N,  620E,  72,  980, XX,  34, NEQ, 0149, 0102, 0081, 0135,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 012, 148N,  620E,  72,  980, XX,  50, NEQ, 0047, 0029, 0030, 0038,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 012, 148N,  620E,  72,  980, XX,  64, NEQ, 0029, 0016, 0000, 0023,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 018, 150N,  612E,  71,  978, XX,  34, NEQ, 0146, 0105, 0094, 0144,    0,    0, 024
IO, 04, 2015102912, 03, COTC, 018, 150N,  612E,  71,  978, XX,  50, NEQ, 0068, 0026, 0032, 0077,    0,    0, 024
IO, 04, 2015102912, 03, COTC, 018, 150N,  612E,  71,  978, XX,  64, NEQ, 0046, 0000, 0000, 0033,    0,    0, 024
IO, 04, 2015102912, 03, COTC, 024, 147N,  603E,  74,  970, XX,  34, NEQ, 0137, 0118, 0097, 0144,    0,    0, 026
IO, 04, 2015102912, 03, COTC, 024, 147N,  603E,  74,  970, XX,  50, NEQ, 0072, 0066, 0038, 0060,    0,    0, 026
IO, 04, 2015102912, 03, COTC, 024, 147N,  603E,  74,  970, XX,  64, NEQ, 0020, 0013, 0018, 0031,    0,    0, 026
IO, 04, 2015102912, 03, COTC, 030, 148N,  596E,  93,  961, XX,  34, NEQ, 0121, 0111, 0137, 0135,    0,    0, 017
IO, 04, 2015102912, 03, COTC, 030, 148N,  596E,  93,  961, XX,  50, NEQ, 0058, 0073, 0041, 0067,    0,    0, 017
IO, 04, 2015102912, 03, COTC, 030, 148N,  596E,  93,  961, XX,  64, NEQ, 0043, 0035, 0032, 0039,    0,    0, 017
IO, 04, 2015102912, 03, COTC, 036, 144N,  587E,  88,  961, XX,  34, NEQ, 0144, 0117, 0097, 0140,    0,    0, 021
IO, 04, 2015102912, 03, COTC, 036, 144N,  587E,  88,  961, XX,  50, NEQ, 0079, 0063, 0071, 0065,    0,    0, 021
IO, 04, 2015102912, 03, COTC, 036, 144N,  587E,  88,  961, XX,  64, NEQ, 0048, 0042, 0019, 0050,    0,    0, 021
IO, 04, 2015102912, 03, COTC, 042, 145N,  579E, 107,  950, XX,  34, NEQ, 0147, 0123, 0101, 0145,    0,    0, 022
IO, 04, 2015102912, 03, COTC, 042, 145N,  579E, 107,  950, XX,  50, NEQ, 0074, 0079, 0062, 0066,    0,    0, 022
IO, 04, 2015102912, 03, COTC, 042, 145N,  579E, 107,  950, XX,  64, NEQ, 0050, 0026, 0041, 0046,    0,    0, 022
IO, 04, 2015102912, 03, COTC, 048, 145N,  569E, 105,  948, XX,  34, NEQ, 0154, 0116, 0104, 0156,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 048, 145N,  569E, 105,  948, XX,  50, NEQ, 0069, 0063, 0066, 0074,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 048, 145N,  569E, 105,  948, XX,  64, NEQ, 0052, 0042, 0040, 0052,    0,    0, 020
IO, 04, 2015102912, 03, COTC, 054, 145N,  559E, 114,  947, XX,  34, NEQ, 0152, 0101, 0108, 0153,    0,    0, 021
IO, 04, 2015102912, 03, COTC, 054, 145N,  559E, 114,  947, XX,  50, NEQ, 0112, 0068, 0070, 0099,    0,    0, 021
