SH, 05, 2015011106,   , BEST,   0, 163S, 0547E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  40,   0,   0,   S,   0,   X,  75,   5,       FIVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011112,   , BEST,   0, 167S, 0549E,  45,  989, XX,  34, NEQ,   40,   40,   40,   40, 1007,  200,  30,   0,   0,   S,   0,   X, 110,   4,      BANSI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011118,   , BEST,   0, 171S, 0551E,  65,  974, XX,  34, NEQ,   75,   75,   70,   70, 1006,  200,  17,   0,   0,   S,   0,   X, 145,   4,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011206,   , BEST,   0, 172S, 0559E, 100,  948, XX,  34, NEQ,  105,   95,   80,   90, 1008,  205,  15,   0,   0,   S,   0,   X, 120,   4,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011212,   , BEST,   0, 175S, 0566E, 115,  937, XX,  34, NEQ,  120,  110,   90,  100, 1009,  200,  10,   0,   0,   S,   0,   X, 105,   5,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011218,   , BEST,   0, 176S, 0568E, 130,  926, XX,  34, NEQ,  130,  145,  125,  135, 1008,  210,  12,   0,   0,   S,   0,   X, 105,   5,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011300,   , BEST,   0, 176S, 0573E, 140,  918, XX,  34, NEQ,  150,  145,  130,  135, 1007,  210,  12,   0,   0,   S,   0,   X, 105,   5,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011306,   , BEST,   0, 173S, 0576E, 130,  926, XX,  34, NEQ,  125,  110,   95,  100, 1007,  210,  12,   0,   0,   S,   0,   X,  80,   3,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011312,   , BEST,   0, 172S, 0579E, 130,  926, XX,  34, NEQ,  120,  120,   95,   75, 1006,  210,  10,   0,   0,   S,   0,   X,  70,   4,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011318,   , BEST,   0, 173S, 0581E, 115,  937, XX,  34, NEQ,  120,  120,   95,   75, 1006,  220,  10,   0,   0,   S,   0,   X,  70,   3,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
SH, 05, 2015011400,   , BEST,   0, 174S, 0582E, 105,  944, XX,  34, NEQ,  120,  120,   95,   75, 1006,  220,  10,   0,   0,   S,   0,   X, 100,   2,      BANSI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH052015, JTWC, NCEP_TCVITALS, 
