SH, 09, 2015012718,   , BEST,   0, 127S, 0633E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  45,   0,   0,   S,   0,   X, 345,   4,       NINE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015012800,   , BEST,   0, 132S, 0639E,  50,  985, XX,  34, NEQ,   35,   35,   30,   30, 1006,  200,  35,   0,   0,   S,   0,   X, 100,   2,       NINE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015012806,   , BEST,   0, 138S, 0645E,  65,  974, XX,  34, NEQ,   85,   45,   60,   60, 1007,  200,  15,   0,   0,   S,   0,   X, 125,   5,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015012812,   , BEST,   0, 142S, 0648E,  85,  959, XX,  34, NEQ,   60,   85,   60,   65, 1005,  205,  15,   0,   0,   S,   0,   X, 135,   6,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015012818,   , BEST,   0, 149S, 0654E,  90,  956, XX,  34, NEQ,   85,   70,   70,   85, 1006,  200,  15,   0,   0,   S,   0,   X, 140,   7,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015012900,   , BEST,   0, 150S, 0657E,  90,  956, XX,  34, NEQ,   85,   70,   70,   85, 1005,  210,  10,   0,   0,   S,   0,   X, 135,   5,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015012906,   , BEST,   0, 153S, 0664E,  95,  952, XX,  34, NEQ,  130,  130,  135,  140, 1006,  210,   6,   0,   0,   S,   0,   X, 125,   6,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015012912,   , BEST,   0, 162S, 0669E, 115,  937, XX,  34, NEQ,  130,  130,  135,  140, 1004,  215,   6,   0,   0,   S,   0,   X, 130,   6,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015012918,   , BEST,   0, 170S, 0673E, 130,  926, XX,  34, NEQ,  140,  130,  135,  140, 1005,  230,  15,   0,   0,   S,   0,   X, 145,   8,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015013000,   , BEST,   0, 177S, 0677E, 140,  918, XX,  34, NEQ,  140,  130,  135,  140, 1006,  220,  20,   0,   0,   S,   0,   X, 155,   9,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015013006,   , BEST,   0, 184S, 0680E, 140,  918, XX,  34, NEQ,  140,  130,  135,  140, 1007,  220,  12,   0,   0,   S,   0,   X, 155,   8,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
SH, 09, 2015013012,   , BEST,   0, 192S, 0685E, 140,  918, XX,  34, NEQ,  140,  130,  135,  140, 1006,  220,   6,   0,   0,   S,   0,   X, 155,   8,     EUNICE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092015, JTWC, NCEP_TCVITALS, 
