WP, 02, 2015020706,   , BEST,   0, 105N, 1577E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  25,   0,   0,   W,   0,   X, 325,   6,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020712,   , BEST,   0, 109N, 1576E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  190,  25,   0,   0,   W,   0,   X, 335,   5,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020718,   , BEST,   0, 116N, 1577E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  25,   0,   0,   W,   0,   X, 350,   5,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020800,   , BEST,   0, 121N, 1574E,  40,  993, XX,  34, NEQ,   35,   30,   30,   35, 1008,  200,  25,   0,   0,   W,   0,   X, 350,   5,      HIGOS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020806,   , BEST,   0, 123N, 1572E,  50,  985, XX,  34, NEQ,   50,   45,   45,   55, 1006,  210,  25,   0,   0,   W,   0,   X, 340,   5,      HIGOS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020812,   , BEST,   0, 122N, 1568E,  55,  982, XX,  34, NEQ,   50,   45,   45,   55, 1008,  210,  15,   0,   0,   W,   0,   X, 305,   4,      HIGOS, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020818,   , BEST,   0, 122N, 1567E,  65,  974, XX,  34, NEQ,   60,   55,   55,   65, 1007,  210,  15,   0,   0,   W,   0,   X, 290,   3,      HIGOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020900,   , BEST,   0, 123N, 1564E,  75,  967, XX,  34, NEQ,   70,   65,   65,   75, 1007,  200,  20,   0,   0,   W,   0,   X, 290,   3,      HIGOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020906,   , BEST,   0, 125N, 1561E,  80,  963, XX,  34, NEQ,   70,   65,   65,   75, 1006,  200,  20,   0,   0,   W,   0,   X, 295,   3,      HIGOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020912,   , BEST,   0, 127N, 1558E,  85,  959, XX,  34, NEQ,   95,   75,   75,  100, 1008,  200,  20,   0,   0,   W,   0,   X, 300,   3,      HIGOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
WP, 02, 2015020918,   , BEST,   0, 131N, 1554E,  75,  967, XX,  34, NEQ,   65,   60,   65,   85, 1007,  200,  20,   0,   0,   W,   0,   X, 310,   4,      HIGOS, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP022015, JTWC, NCEP_TCVITALS, 
