WP, 04, 2015032706,   , BEST,   0, 070N, 1574E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  190,  35,   0,   0,   W,   0,   X, 280,   8,       FOUR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032712,   , BEST,   0, 074N, 1566E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  190,  35,   0,   0,   W,   0,   X, 290,   8,       FOUR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032718,   , BEST,   0, 075N, 1559E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  190,  35,   0,   0,   W,   0,   X, 290,   7,     MAYSAK, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032718,   , BEST,   0, 075N, 1559E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  190,  35,   0,   0,   W,   0,   X, 290,   7,       FOUR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032800,   , BEST,   0, 076N, 1549E,  45,  989, XX,  34, NEQ,   45,   35,   35,   45, 1008,  190,  35,   0,   0,   W,   0,   X, 285,   9,     MAYSAK, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032806,   , BEST,   0, 076N, 1546E,  55,  982, XX,  34, NEQ,   55,   45,   45,   55, 1008,  190,  20,   0,   0,   W,   0,   X, 280,   7,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032812,   , BEST,   0, 075N, 1535E,  60,  978, XX,  34, NEQ,   55,   45,   45,   55, 1008,  190,  20,   0,   0,   W,   0,   X, 270,   9,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032818,   , BEST,   0, 073N, 1528E,  65,  974, XX,  34, NEQ,   65,   55,   55,   65, 1009,  190,  20,   0,   0,   W,   0,   X, 265,   9,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032906,   , BEST,   0, 076N, 1509E,  75,  967, XX,  34, NEQ,   80,   70,   70,   80, 1009,  190,  15,   0,   0,   W,   0,   X, 275,   9,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032912,   , BEST,   0, 080N, 1497E,  80,  963, XX,  34, NEQ,   80,   70,   70,   80, 1009,  190,  15,   0,   0,   W,   0,   X, 280,  11,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
WP, 04, 2015032918,   , BEST,   0, 081N, 1483E,  85,  959, XX,  34, NEQ,   90,   80,   80,   90, 1009,  190,  15,   0,   0,   W,   0,   X, 280,  12,     MAYSAK, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042015, JTWC, NCEP_TCVITALS, 
