WP, 06, 2015050300,   , BEST,   0, 080N, 1412E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1009,  220,  45,   0,   0,   W,   0,   X, 280,   9,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050306,   , BEST,   0, 084N, 1415E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1010,  215,  40,   0,   0,   W,   0,   X, 290,   6,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050312,   , BEST,   0, 090N, 1413E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  210,  40,   0,   0,   W,   0,   X, 315,   5,        SIX, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050318,   , BEST,   0, 096N, 1407E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1007,  165,  40,   0,   0,   W,   0,   X, 320,   6,        SIX, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050400,   , BEST,   0, 097N, 1403E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  165,  40,   0,   0,   W,   0,   X, 315,   6,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050406,   , BEST,   0, 098N, 1400E,  40,  993, XX,  34, NEQ,   55,   45,   45,   55, 1008,  165,  30,   0,   0,   W,   0,   X, 300,   4,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050412,   , BEST,   0, 097N, 1397E,  45,  989, XX,  34, NEQ,   60,   50,   50,   55, 1006,  170,  30,   0,   0,   W,   0,   X, 280,   3,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050418,   , BEST,   0, 096N, 1394E,  50,  985, XX,  34, NEQ,   60,   50,   50,   55, 1006,  170,  30,   0,   0,   W,   0,   X, 265,   3,       NOUL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050500,   , BEST,   0, 094N, 1389E,  55,  982, XX,  34, NEQ,   60,   50,   50,   55, 1006,  150,  10,   0,   0,   W,   0,   X, 255,   4,       NOUL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050506,   , BEST,   0, 095N, 1389E,  55,  982, XX,  34, NEQ,   60,   50,   50,   55, 1006,  150,  10,   0,   0,   W,   0,   X, 265,   3,       NOUL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050512,   , BEST,   0, 095N, 1386E,  60,  978, XX,  34, NEQ,   65,   55,   55,   60, 1005,  160,  10,   0,   0,   W,   0,   X, 270,   3,       NOUL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050518,   , BEST,   0, 095N, 1382E,  65,  974, XX,  34, NEQ,   65,   55,   55,   60, 1006,  200,  10,   0,   0,   W,   0,   X, 270,   3,       NOUL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050600,   , BEST,   0, 094N, 1378E,  65,  974, XX,  34, NEQ,   65,   55,   55,   65, 1007,  210,  10,   0,   0,   W,   0,   X, 265,   4,       NOUL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050606,   , BEST,   0, 094N, 1369E,  75,  967, XX,  34, NEQ,   75,   70,   70,   80, 1007,  200,  10,   0,   0,   W,   0,   X, 275,   5,       NOUL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
WP, 06, 2015050612,   , BEST,   0, 097N, 1361E,  80,  963, XX,  34, NEQ,   75,   70,   70,   80, 1007,  200,  10,   0,   0,   W,   0,   X, 280,   7,       NOUL, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP062015, JTWC, NCEP_TCVITALS, 
