WP, 07, 2015050618,   , BEST,   0, 048N, 1593E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  225,  50,   0,   0,   W,   0,   X,  55,   4,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050700,   , BEST,   0, 039N, 1597E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  225,  50,   0,   0,   W,   0,   X, 105,   3,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050706,   , BEST,   0, 035N, 1601E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  225,  45,   0,   0,   W,   0,   X, 120,   4,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050712,   , BEST,   0, 034N, 1606E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  205,  45,   0,   0,   W,   0,   X, 115,   5,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050718,   , BEST,   0, 028N, 1614E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  205,  45,   0,   0,   W,   0,   X, 120,   7,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050800,   , BEST,   0, 035N, 1619E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  205,  45,   0,   0,   W,   0,   X,  95,   6,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050806,   , BEST,   0, 038N, 1621E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  190,  40,   0,   0,   W,   0,   X,  75,   5,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050812,   , BEST,   0, 038N, 1625E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  40,   0,   0,   W,   0,   X,  75,   5,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050818,   , BEST,   0, 040N, 1627E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  40,   0,   0,   W,   0,   X,  70,   4,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050900,   , BEST,   0, 045N, 1625E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  40,   0,   0,   W,   0,   X,  30,   3,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050906,   , BEST,   0, 048N, 1622E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  40,   0,   0,   W,   0,   X, 345,   3,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050912,   , BEST,   0, 053N, 1623E,  40,  993, XX,  34, NEQ,   55,   55,   50,   55, 1005,  180,  40,   0,   0,   W,   0,   X, 340,   4,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015050918,   , BEST,   0, 056N, 1618E,  40,  993, XX,  34, NEQ,   55,   55,   50,   55, 1005,  180,  40,   0,   0,   W,   0,   X, 320,   5,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015051000,   , BEST,   0, 062N, 1604E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  40,   0,   0,   W,   0,   X, 300,   8,    DOLPHIN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015051006,   , BEST,   0, 070N, 1600E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  180,  40,   0,   0,   W,   0,   X, 310,   9,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
WP, 07, 2015051012,   , BEST,   0, 076N, 1600E,  40,  993, XX,  34, NEQ,   55,   55,   60,   45, 1005,  180,  40,   0,   0,   W,   0,   X, 320,   8,    DOLPHIN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072015, JTWC, NCEP_TCVITALS, 
