WP, 09, 2015063012,   , BEST,   0, 096N, 1603E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  220,  40,   0,   0,   W,   0,   X, 300,   3,       NINE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015063018,   , BEST,   0, 100N, 1599E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  220,  40,   0,   0,   W,   0,   X, 300,   3,   CHAN-HOM, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070100,   , BEST,   0, 106N, 1573E,  40,  993, XX,  34, NEQ,   45,   45,   50,   50, 1008,  220,  45,   0,   0,   W,   0,   X, 290,  11,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070106,   , BEST,   0, 107N, 1560E,  40,  993, XX,  34, NEQ,   45,   45,   50,   50, 1006,  220,  45,   0,   0,   W,   0,   X, 285,  13,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070112,   , BEST,   0, 111N, 1557E,  45,  989, XX,  34, NEQ,   45,   45,   50,   50, 1006,  180,  45,   0,   0,   W,   0,   X, 290,  10,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070118,   , BEST,   0, 112N, 1545E,  45,  989, XX,  34, NEQ,   45,   45,   50,   50, 1007,  200,  40,   0,   0,   W,   0,   X, 285,   8,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070200,   , BEST,   0, 112N, 1525E,  55,  982, XX,  34, NEQ,   70,   65,   75,   75, 1007,  200,  25,   0,   0,   W,   0,   X, 275,  12,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070206,   , BEST,   0, 107N, 1505E,  55,  982, XX,  34, NEQ,   70,   65,   75,   75, 1007,  200,  25,   0,   0,   W,   0,   X, 265,  16,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070212,   , BEST,   0, 101N, 1486E,  65,  974, XX,  34, NEQ,   85,   70,   80,   95, 1007,  220,  25,   0,   0,   W,   0,   X, 260,  18,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070218,   , BEST,   0, 101N, 1483E,  65,  974, XX,  34, NEQ,   85,   70,   80,   95, 1007,  220,  25,   0,   0,   W,   0,   X, 255,  14,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070300,   , BEST,   0, 102N, 1481E,  55,  982, XX,  34, NEQ,   85,   70,   80,   95, 1007,  210,  15,   0,   0,   W,   0,   X, 260,   8,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070306,   , BEST,   0, 108N, 1485E,  45,  989, XX,  34, NEQ,    0,    0,   80,    0, 1003,  200,  50,   0,   0,   W,   0,   X, 320,   3,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070312,   , BEST,   0, 111N, 1488E,  45,  989, XX,  34, NEQ,    0,   50,  100,    0, 1003,  195,  40,   0,   0,   W,   0,   X,  10,   3,   CHAN-HOM, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070318,   , BEST,   0, 115N, 1487E,  45,  989, XX,  34, NEQ,    0,   50,  100,    0, 1003,  195,  40,   0,   0,   W,   0,   X,  25,   5,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070400,   , BEST,   0, 124N, 1484E,  45,  989, XX,  34, NEQ,   20,   50,  100,   15, 1001,  210,  40,   0,   0,   W,   0,   X, 355,   5,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070406,   , BEST,   0, 132N, 1475E,  45,  989, XX,  34, NEQ,   85,   75,   75,   85, 1003,  220,  40,   0,   0,   W,   0,   X, 330,   8,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070412,   , BEST,   0, 135N, 1461E,  45,  989, XX,  34, NEQ,   85,   75,   75,   85, 1003,  220,  40,   0,   0,   W,   0,   X, 305,  11,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070418,   , BEST,   0, 138N, 1457E,  40,  993, XX,  34, NEQ,   85,   75,   75,   85, 1003,  220,  40,   0,   0,   W,   0,   X, 295,   9,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
WP, 09, 2015070500,   , BEST,   0, 141N, 1451E,  40,  993, XX,  34, NEQ,   85,   75,   75,   85, 1005,  220,  40,   0,   0,   W,   0,   X, 295,   7,   CHAN-HOM, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP092015, JTWC, NCEP_TCVITALS, 
