WP, 21, 2015092200,   , BEST,   0, 165N, 1406E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  240,  55,   0,   0,   W,   0,   X, 290,  10,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092206,   , BEST,   0, 174N, 1409E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  240,  50,   0,   0,   W,   0,   X, 310,   8,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092212,   , BEST,   0, 176N, 1396E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  240,  50,   0,   0,   W,   0,   X, 300,   9,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092218,   , BEST,   0, 175N, 1383E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1005,  260,  45,   0,   0,   W,   0,   X, 285,  11,  TWENTY-ON, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092300,   , BEST,   0, 176N, 1367E,  40,  993, XX,  34, NEQ,   45,   80,  100,   90, 1007,  260,  40,   0,   0,   W,   0,   X, 275,  13,     DUJUAN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092306,   , BEST,   0, 183N, 1356E,  40,  993, XX,  34, NEQ,   45,   80,  100,   90, 1005,  260,  40,   0,   0,   W,   0,   X, 285,  13,     DUJUAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092312,   , BEST,   0, 185N, 1346E,  40,  993, XX,  34, NEQ,   45,   80,  100,   90, 1005,  260,  40,   0,   0,   W,   0,   X, 290,  11,     DUJUAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092318,   , BEST,   0, 184N, 1334E,  45,  989, XX,  34, NEQ,   50,   95,  135,   40, 1002,  260,  40,   0,   0,   W,   0,   X, 280,  11,     DUJUAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092400,   , BEST,   0, 189N, 1329E,  50,  985, XX,  34, NEQ,   60,  115,  135,   60, 1002,  260,  35,   0,   0,   W,   0,   X, 285,   9,     DUJUAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092406,   , BEST,   0, 186N, 1325E,  55,  982, XX,  34, NEQ,   60,  115,  135,   60, 1001,  260,  30,   0,   0,   W,   0,   X, 280,   6,     DUJUAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
WP, 21, 2015092412,   , BEST,   0, 185N, 1322E,  55,  982, XX,  34, NEQ,   60,  135,  115,   60, 1001,  260,  30,   0,   0,   W,   0,   X, 270,   5,     DUJUAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP212015, JTWC, NCEP_TCVITALS, 
