AL, 11, 2017083012, 03, ECMF,   0, 166N,  296W,  30, 1009, XX
AL, 11, 2017083012, 03, ECMF,   6, 167N,  308W,  31, 1006, XX
AL, 11, 2017083012, 03, ECMF,  12, 167N,  314W,  28, 1008, XX
AL, 11, 2017083012, 03, ECMF,  18, 175N,  327W,  29, 1006, XX
AL, 11, 2017083012, 03, ECMF,  24, 176N,  344W,  32, 1007, XX
AL, 11, 2017083012, 03, ECMF,  30, 169N,  352W,  28, 1005, XX
AL, 11, 2017083012, 03, ECMF,  36, 177N,  359W,  32, 1006, XX
AL, 11, 2017083012, 03, ECMF,  42, 177N,  370W,  31, 1004, XX
AL, 11, 2017083012, 03, ECMF,  48, 177N,  382W,  34, 1005, XX
AL, 11, 2017083012, 03, ECMF,  54, 179N,  391W,  31, 1004, XX
AL, 11, 2017083012, 03, ECMF,  60, 183N,  401W,  37, 1005, XX
AL, 11, 2017083012, 03, ECMF,  66, 183N,  415W,  37, 1002, XX
AL, 11, 2017083012, 03, ECMF,  72, 182N,  427W,  40, 1003, XX
AL, 11, 2017083012, 03, ECMF,  78, 183N,  439W,  42, 1000, XX
AL, 11, 2017083012, 03, ECMF,  84, 179N,  452W,  45,  998, XX
AL, 11, 2017083012, 03, ECMF,  90, 177N,  463W,  46,  994, XX
AL, 11, 2017083012, 03, ECMF,  96, 176N,  476W,  49,  994, XX
AL, 11, 2017083012, 03, ECMF, 102, 173N,  487W,  58,  986, XX
AL, 11, 2017083012, 03, ECMF, 108, 170N,  498W,  64,  981, XX
AL, 11, 2017083012, 03, ECMF, 114, 167N,  511W,  74,  967, XX
AL, 11, 2017083012, 03, ECMF, 120, 166N,  522W,  73,  969, XX
AL, 11, 2017083012, 03, ECMF, 126, 166N,  535W,  78,  965, XX
AL, 11, 2017083012, 03, ECMF, 132, 166N,  546W,  80,  965, XX
AL, 11, 2017083012, 03, ECMF, 138, 166N,  559W,  82,  961, XX
AL, 11, 2017083012, 03, ECMF, 144, 167N,  571W,  81,  956, XX
AL, 11, 2017083012, 03, ECMF, 150, 167N,  584W,  81,  954, XX
AL, 11, 2017083012, 03, ECMF, 156, 169N,  597W,  83,  956, XX
AL, 11, 2017083012, 03, ECMF, 162, 172N,  609W,  85,  955, XX
AL, 11, 2017083012, 03, ECMF, 168, 175N,  623W,  90,  956, XX
AL, 11, 2017083012, 03, ECMF, 174, 177N,  638W,  93,  941, XX
AL, 11, 2017083012, 03, ECMF, 180, 182N,  649W,  90,  949, XX
AL, 11, 2017083012, 03, ECMF, 186, 186N,  664W,  80,  952, XX
AL, 11, 2017083012, 03, ECMF, 192, 190N,  677W,  93,  943, XX
AL, 11, 2017083012, 03, ECMF, 198, 196N,  688W,  91,  941, XX
AL, 11, 2017083012, 03, ECMF, 204, 203N,  698W,  84,  947, XX
AL, 11, 2017083012, 03, ECMF, 210, 205N,  709W,  89,  946, XX
AL, 11, 2017083012, 03, ECMF, 216, 211N,  718W,  94,  946, XX
AL, 11, 2017083012, 03, ECMF, 222, 217N,  726W,  90,  937, XX
AL, 11, 2017083012, 03, ECMF, 228, 221N,  732W,  87,  933, XX
AL, 11, 2017083012, 03, ECMF, 234, 222N,  737W,  80,  939, XX
