WP, 01, 2017010800,   , BEST,   0, 090N, 1269E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  40,   0,   0,   W,   0,   X, 315,  12,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017010806,   , BEST,   0, 094N, 1262E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  40,   0,   0,   W,   0,   X, 310,   8,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017010812,   , BEST,   0, 096N, 1257E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  40,   0,   0,   W,   0,   X, 300,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017010818,   , BEST,   0, 103N, 1256E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  130,  40,   0,   0,   W,   0,   X, 315,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017010900,   , BEST,   0, 105N, 1251E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  40,   0,   0,   W,   0,   X, 305,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017010906,   , BEST,   0, 104N, 1241E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  120,  40,   0,   0,   W,   0,   X, 290,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017010912,   , BEST,   0, 105N, 1234E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  40,   0,   0,   W,   0,   X, 285,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017010918,   , BEST,   0, 099N, 1220E,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  40,   0,   0,   W,   0,   X, 265,   9,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011000,   , BEST,   0, 095N, 1212E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  40,   0,   0,   W,   0,   X, 260,  10,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011012,   , BEST,   0, 079N, 1193E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  120,  40,   0,   0,   W,   0,   X, 240,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011312,   , BEST,   0, 116N, 1119E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  100,  40,   0,   0,   W,   0,   X, 320,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011318,   , BEST,   0, 109N, 1118E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  120,  40,   0,   0,   W,   0,   X, 280,   2,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011400,   , BEST,   0, 104N, 1111E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  40,   0,   0,   W,   0,   X, 250,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011406,   , BEST,   0, 100N, 1110E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   W,   0,   X, 230,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011412,   , BEST,   0, 096N, 1108E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   W,   0,   X, 210,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011418,   , BEST,   0, 092N, 1104E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   W,   0,   X, 210,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011500,   , BEST,   0, 094N, 1096E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  40,   0,   0,   W,   0,   X, 245,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011506,   , BEST,   0, 097N, 1092E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  60,   0,   0,   W,   0,   X, 275,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011512,   , BEST,   0, 098N, 1088E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  60,   0,   0,   W,   0,   X, 285,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011518,   , BEST,   0, 095N, 1083E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  60,   0,   0,   W,   0,   X, 265,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011600,   , BEST,   0, 091N, 1075E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  55,   0,   0,   W,   0,   X, 250,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
WP, 01, 2017011606,   , BEST,   0, 089N, 1057E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  55,   0,   0,   W,   0,   X, 260,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012017, JTWC, NCEP_TCVITALS, 
