WP, 92, 2018061300, 01, CARQ,   0, 084N, 1495E,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,   X, 280,  11,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018061300, 01, CARQ,   0, 084N, 1495E,  15, 1006, XX,  50, NEQ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,   X, 280,  11,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018061300, 01, CARQ,   0, 084N, 1495E,  15, 1006, XX,  64, NEQ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,   X, 280,  11,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018061400, 01, CARQ, -24, 084N, 1495E,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   W,   0,   X, 280,  11,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018061400, 01, CARQ,   0, 112N, 1454E,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1010,  150,  35,   0,   0,   W,   0,   X, 295,  14,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018061400, 01, CARQ,   0, 112N, 1454E,  15, 1008, XX,  50, NEQ,    0,    0,    0,    0, 1010,  150,  35,   0,   0,   W,   0,   X, 295,  14,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018061400, 01, CARQ,   0, 112N, 1454E,  15, 1008, XX,  64, NEQ,    0,    0,    0,    0, 1010,  150,  35,   0,   0,   W,   0,   X, 295,  14,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018071112, 01, CARQ,   0, 114N, 1435E,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,    ,   0,   0,   W,   0,   X, 305,   5,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018071112, 01, CARQ,   0, 114N, 1435E,  15, 1005, XX,  50, NEQ,    0,    0,    0,    0, 1008,  150,    ,   0,   0,   W,   0,   X, 305,   5,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018071112, 01, CARQ,   0, 114N, 1435E,  15, 1005, XX,  64, NEQ,    0,    0,    0,    0, 1008,  150,    ,   0,   0,   W,   0,   X, 305,   5,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
WP, 92, 2018071206, 01, CARQ, -18, 114N, 1435E,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,    ,   0,   0,   W,   0,   X, 305,   5,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP922018, JTWC, NCEP_TCVITALS, 
