SH, 17, 2020022100, 01, CARQ,   0, 148S, 1708W,  45,  996, XX,  34, NEQ,   70,   70,   15,   55, 1005,  125,  25,   0,   0,   P,   0,   X, 120,   9,  SEVENTEEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH172020, JTWC, NCEP_TCVITALS, 
SH, 17, 2020022100, 01, CARQ,   0, 148S, 1708W,  45,  996, XX,  50, NEQ,    0,    0,    0,    0, 1005,  125,  25,   0,   0,   P,   0,   X, 120,   9,  SEVENTEEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH172020, JTWC, NCEP_TCVITALS, 
SH, 17, 2020022100, 01, CARQ,   0, 148S, 1708W,  45,  996, XX,  64, NEQ,    0,    0,    0,    0, 1005,  125,  25,   0,   0,   P,   0,   X, 120,   9,  SEVENTEEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, SH172020, JTWC, NCEP_TCVITALS, 
SH, 17, 2020022100, 03, AC00, 000, 156S, 1701W,  31, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 006, 162S, 1698W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 012, 168S, 1694W,  30, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 018, 178S, 1689W,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 024, 191S, 1687W,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 030, 200S, 1686W,  21, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 036, 209S, 1686W,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 042, 217S, 1686W,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 048, 225S, 1687W,  23, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 054, 229S, 1690W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 060, 232S, 1695W,  24, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 066, 235S, 1701W,  22, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 072, 241S, 1706W,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AC00, 078, 251S, 1714W,  21, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 000, 155S, 1701W,  32, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 006, 164S, 1698W,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 012, 172S, 1695W,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 018, 182S, 1692W,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 024, 191S, 1691W,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 030, 198S, 1691W,  24, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 036, 205S, 1692W,  25, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 042, 211S, 1692W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 17, 2020022100, 03, AEMN, 048, 219S, 1694W,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
