WP, 04, 2020080106, 01, CARQ,   0, 189N, 1084E,  35,  995, XX,  34, NEQ,   70,  100,  100,  115, 1000,  250,  70,   0,   0,   W,   0,   X, 295,  13,       FOUR, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP042020, JTWC, NCEP_TCVITALS, 
WP, 04, 2020080106, 01, CARQ,   0, 189N, 1084E,  35,  995, XX,  50, NEQ,    0,    0,    0,    0, 1000,  250,  70,   0,   0,   W,   0,   X, 295,  13,       FOUR, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP042020, JTWC, NCEP_TCVITALS, 
WP, 04, 2020080106, 01, CARQ,   0, 189N, 1084E,  35,  995, XX,  64, NEQ,    0,    0,    0,    0, 1000,  250,  70,   0,   0,   W,   0,   X, 295,  13,       FOUR, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP042020, JTWC, NCEP_TCVITALS, 
WP, 04, 2020080106, 03, AC00, 000, 184N, 1076E,  33,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 006, 184N, 1075E,  32,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 012, 187N, 1070E,  34,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 018, 190N, 1062E,  35,  992, XX,  34, NEQ, 0075, 0056, 0000, 0000
WP, 04, 2020080106, 03, AC00, 024, 187N, 1043E,  32,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 030, 186N, 1034E,  23,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 036, 187N, 1024E,  21,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 042, 188N, 1016E,  17,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 048, 189N, 1009E,  16,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 054, 192N,  993E,  10,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 060, 193N,  968E,  13,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 066, 200N,  960E,   8,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AC00, 072, 204N,  949E,  12,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 000, 184N, 1078E,  35,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 006, 184N, 1076E,  31,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 012, 188N, 1071E,  33,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 018, 190N, 1063E,  34,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 024, 191N, 1051E,  29,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 030, 190N, 1038E,  23,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 036, 191N, 1027E,  20,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 042, 191N, 1015E,  15,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 048, 191N, 1005E,  14,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 054, 194N,  990E,  12,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 060, 198N,  973E,  14,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 066, 200N,  961E,  13,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AEMN, 072, 199N,  947E,  16,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP01, 000, 184N, 1075E,  33,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP01, 006, 183N, 1073E,  32,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP01, 012, 188N, 1066E,  34,  992, XX,  34, NEQ, 0000, 0056, 0000, 0000
WP, 04, 2020080106, 03, AP01, 018, 183N, 1043E,  30,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP01, 024, 183N, 1035E,  23,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP01, 030, 185N, 1026E,  18,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 04, 2020080106, 03, AP01, 036, 189N, 1013E,  17,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000
