WP, 06, 2020080912, 01, CARQ,   0, 261N, 1476E,  35, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1016,   90,  30,   0,   0,   W,   0,   X, 275,   6,        SIX, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020080912, 01, CARQ,   0, 261N, 1476E,  35, 1006, XX,  50, NEQ,    0,    0,    0,    0, 1016,   90,  30,   0,   0,   W,   0,   X, 275,   6,        SIX, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020080912, 01, CARQ,   0, 261N, 1476E,  35, 1006, XX,  64, NEQ,    0,    0,    0,    0, 1016,   90,  30,   0,   0,   W,   0,   X, 275,   6,        SIX, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP062020, JTWC, NCEP_TCVITALS, 
WP, 06, 2020080912, 03, AC00, 000, 261N, 1476E,  21, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 006, 261N, 1470E,  22, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 012, 262N, 1464E,  25, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 018, 264N, 1455E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 024, 264N, 1444E,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 030, 266N, 1430E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 036, 268N, 1418E,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 042, 270N, 1406E,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 048, 271N, 1394E,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 054, 268N, 1382E,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 060, 267N, 1374E,  17, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 066, 266N, 1365E,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 072, 269N, 1356E,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 078, 268N, 1347E,  15, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 084, 268N, 1339E,  18, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 090, 267N, 1334E,  16, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 096, 261N, 1326E,  13, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 102, 267N, 1320E,  12, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 108, 269N, 1317E,  13, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 114, 273N, 1319E,  14, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AC00, 120, 267N, 1317E,  11, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 000, 261N, 1476E,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 006, 261N, 1470E,  23, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 012, 262N, 1463E,  24, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 018, 263N, 1455E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 024, 264N, 1443E,  22, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 030, 267N, 1430E,  21, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 036, 269N, 1418E,  20, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 042, 271N, 1407E,  19, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 048, 272N, 1394E,  19, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 054, 274N, 1384E,  18, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 060, 274N, 1377E,  18, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 066, 274N, 1367E,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 072, 274N, 1360E,  17, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 078, 275N, 1352E,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 084, 275N, 1347E,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 06, 2020080912, 03, AEMN, 090, 276N, 1344E,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
