WP, 07, 2020080912, 01, CARQ,   0, 168N, 1183E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1004,   80,  60,   0,   0,   W,   0,   X,  10,   7,      SEVEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP072020, JTWC, NCEP_TCVITALS, 
WP, 07, 2020080912, 01, CARQ,   0, 168N, 1183E,  25, 1002, XX,  50, NEQ,    0,    0,    0,    0, 1004,   80,  60,   0,   0,   W,   0,   X,  10,   7,      SEVEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP072020, JTWC, NCEP_TCVITALS, 
WP, 07, 2020080912, 01, CARQ,   0, 168N, 1183E,  25, 1002, XX,  64, NEQ,    0,    0,    0,    0, 1004,   80,  60,   0,   0,   W,   0,   X,  10,   7,      SEVEN, M,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP072020, JTWC, NCEP_TCVITALS, 
WP, 07, 2020080912, 03, AC00, 000, 173N, 1190E,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AC00, 006, 182N, 1191E,  34, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AC00, 012, 196N, 1193E,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AC00, 018, 209N, 1194E,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AC00, 024, 218N, 1195E,  28, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AC00, 030, 227N, 1193E,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AC00, 036, 238N, 1191E,  31, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AC00, 042, 249N, 1191E,  30, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AC00, 048, 253N, 1187E,  18, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 000, 173N, 1191E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 006, 182N, 1192E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 012, 196N, 1193E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 018, 209N, 1196E,  31, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 024, 220N, 1197E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 030, 232N, 1196E,  28, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 036, 247N, 1200E,  29, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 042, 262N, 1202E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 048, 275N, 1201E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AEMN, 054, 284N, 1195E,  21, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP01, 000, 176N, 1193E,  34,  998, XX,  34, NEQ, 0000, 0056, 0000, 0000
WP, 07, 2020080912, 03, AP01, 006, 185N, 1194E,  34,  998, XX,  34, NEQ, 0000, 0095, 0000, 0000
WP, 07, 2020080912, 03, AP01, 012, 200N, 1194E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP01, 018, 213N, 1194E,  31, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP01, 024, 222N, 1191E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP01, 030, 232N, 1185E,  21, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP01, 036, 250N, 1192E,  22, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP02, 000, 172N, 1190E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP02, 006, 182N, 1192E,  35, 1002, XX,  34, NEQ, 0000, 0063, 0000, 0000
WP, 07, 2020080912, 03, AP02, 012, 194N, 1195E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP02, 018, 206N, 1197E,  34, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP02, 024, 217N, 1200E,  31, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP02, 030, 229N, 1201E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP02, 036, 242N, 1207E,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP02, 042, 259N, 1214E,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP03, 000, 172N, 1192E,  35, 1002, XX,  34, NEQ, 0050, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP03, 006, 180N, 1192E,  33, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP03, 012, 193N, 1196E,  27, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP03, 018, 208N, 1200E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP03, 024, 219N, 1204E,  29, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP03, 030, 231N, 1207E,  29, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP03, 036, 243N, 1213E,  32, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP03, 042, 265N, 1212E,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 000, 174N, 1193E,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 006, 179N, 1194E,  32, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 012, 193N, 1195E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 018, 206N, 1198E,  31, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 024, 219N, 1198E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 030, 232N, 1199E,  26, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 036, 250N, 1209E,  28, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 042, 279N, 1205E,  30, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP04, 048, 296N, 1205E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP05, 000, 172N, 1190E,  36, 1000, XX,  34, NEQ, 0000, 0063, 0000, 0000
WP, 07, 2020080912, 03, AP05, 006, 183N, 1191E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP05, 012, 195N, 1192E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP05, 018, 206N, 1197E,  35, 1001, XX,  34, NEQ, 0000, 0062, 0000, 0000
WP, 07, 2020080912, 03, AP05, 024, 218N, 1200E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP05, 030, 231N, 1200E,  27, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP05, 036, 247N, 1212E,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP05, 042, 276N, 1217E,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP05, 048, 289N, 1219E,  26, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP05, 054, 307N, 1222E,  27, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP06, 000, 171N, 1190E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP06, 006, 180N, 1190E,  35,  998, XX,  34, NEQ, 0000, 0067, 0000, 0000
WP, 07, 2020080912, 03, AP06, 012, 192N, 1190E,  32,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP06, 018, 204N, 1191E,  31,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP06, 024, 214N, 1193E,  30, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP06, 030, 224N, 1190E,  33, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP06, 036, 237N, 1188E,  34, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP06, 042, 249N, 1185E,  28, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP06, 048, 260N, 1178E,  18, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 000, 173N, 1189E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 006, 182N, 1189E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 012, 196N, 1192E,  31, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 018, 211N, 1193E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 024, 222N, 1192E,  23, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 030, 233N, 1189E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 036, 246N, 1191E,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 042, 255N, 1193E,  23, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 048, 262N, 1193E,  20, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 054, 278N, 1191E,  20, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 060, 292N, 1202E,  21, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP07, 066, 308N, 1214E,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 000, 177N, 1191E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 006, 183N, 1197E,  31,  999, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 012, 198N, 1199E,  32, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 018, 212N, 1203E,  33, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 024, 227N, 1208E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 030, 254N, 1210E,  37, 1001, XX,  34, NEQ, 0000, 0182, 0000, 0000
WP, 07, 2020080912, 03, AP08, 036, 273N, 1212E,  33, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 042, 292N, 1215E,  30, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 048, 308N, 1219E,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP08, 054, 330N, 1222E,  30, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP09, 000, 174N, 1190E,  30, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP09, 006, 182N, 1194E,  31, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP09, 012, 194N, 1196E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP09, 018, 206N, 1199E,  30, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP09, 024, 217N, 1199E,  29, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP09, 030, 224N, 1193E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 07, 2020080912, 03, AP10, 000, 174N, 1192E,  35, 1001, XX,  34, NEQ, 0000, 0052, 0000, 0000
