WP, 12, 2013081706, 03, HWRF, 000, 206N, 1252E,  29,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  70
WP, 12, 2013081706, 03, HWRF, 006, 202N, 1262E,  37,  998, XX,  34, NEQ, 0000, 0000, 0076, 0000,    0,    0,  72
WP, 12, 2013081706, 03, HWRF, 012, 196N, 1275E,  40,  997, XX,  34, NEQ, 0000, 0051, 0081, 0000,    0,    0,  43
WP, 12, 2013081706, 03, HWRF, 018, 199N, 1285E,  33,  998, XX,  34, NEQ, 0000, 0000, 0146, 0000,    0,    0,  71
WP, 12, 2013081706, 03, HWRF, 024, 197N, 1292E,  43,  995, XX,  34, NEQ, 0000, 0055, 0059, 0000,    0,    0,  37
WP, 12, 2013081706, 03, HWRF, 030, 204N, 1304E,  45,  993, XX,  34, NEQ, 0000, 0065, 0067, 0030,    0,    0,  26
WP, 12, 2013081706, 03, HWRF, 036, 209N, 1314E,  44,  987, XX,  34, NEQ, 0192, 0055, 0077, 0000,    0,    0,  35
WP, 12, 2013081706, 03, HWRF, 042, 217N, 1322E,  46,  990, XX,  34, NEQ, 0046, 0069, 0040, 0000,    0,    0,  31
WP, 12, 2013081706, 03, HWRF, 048, 229N, 1329E,  45,  987, XX,  34, NEQ, 0170, 0092, 0040, 0000,    0,    0,  42
WP, 12, 2013081706, 03, HWRF, 054, 241N, 1331E,  47,  985, XX,  34, NEQ, 0152, 0131, 0041, 0040,    0,    0,  18
WP, 12, 2013081706, 03, HWRF, 060, 252N, 1319E,  59,  975, XX,  34, NEQ, 0095, 0062, 0005, 0045,    0,    0,  32
WP, 12, 2013081706, 03, HWRF, 060, 252N, 1319E,  59,  975, XX,  50, NEQ, 0040, 0000, 0000, 0000,    0,    0,  32
WP, 12, 2013081706, 03, HWRF, 066, 255N, 1306E,  64,  971, XX,  34, NEQ, 0135, 0351, 0022, 0097,    0,    0,  25
WP, 12, 2013081706, 03, HWRF, 066, 255N, 1306E,  64,  971, XX,  50, NEQ, 0042, 0019, 0000, 0040,    0,    0,  25
WP, 12, 2013081706, 03, HWRF, 072, 258N, 1290E,  70,  965, XX,  34, NEQ, 0143, 0036, 0044, 0129,    0,    0,  18
WP, 12, 2013081706, 03, HWRF, 072, 258N, 1290E,  70,  965, XX,  50, NEQ, 0035, 0000, 0022, 0041,    0,    0,  18
