WP, 16, 2020100418, 01, CARQ,   0, 225N, 1392E,  25,  998, XX,  34, NEQ,    0,    0,    0,    0, 1006,  230, 110,   0,   0,   W,   0,   X, 300,   2,    SIXTEEN, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100418, 01, CARQ,   0, 225N, 1392E,  25,  998, XX,  50, NEQ,    0,    0,    0,    0, 1006,  230, 110,   0,   0,   W,   0,   X, 300,   2,    SIXTEEN, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100418, 01, CARQ,   0, 225N, 1392E,  25,  998, XX,  64, NEQ,    0,    0,    0,    0, 1006,  230, 110,   0,   0,   W,   0,   X, 300,   2,    SIXTEEN, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP162020, JTWC, NCEP_TCVITALS, 
WP, 16, 2020100418, 03, AC00, 000, 222N, 1390E,  27,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AC00, 006, 223N, 1392E,  36,  997, XX,  34, NEQ, 0000, 0055, 0000, 0000
WP, 16, 2020100418, 03, AC00, 012, 234N, 1396E,  39,  992, XX,  34, NEQ, 0076, 0117, 0122, 0000
WP, 16, 2020100418, 03, AC00, 018, 234N, 1395E,  42,  992, XX,  34, NEQ, 0250, 0252, 0000, 0000
WP, 16, 2020100418, 03, AC00, 024, 238N, 1395E,  46,  988, XX,  34, NEQ, 0169, 0166, 0000, 0000
WP, 16, 2020100418, 03, AC00, 030, 240N, 1393E,  53,  989, XX,  34, NEQ, 0207, 0201, 0034, 0090
WP, 16, 2020100418, 03, AC00, 030, 240N, 1393E,  53,  989, XX,  50, NEQ, 0000, 0079, 0000, 0000
WP, 16, 2020100418, 03, AC00, 036, 244N, 1389E,  49,  985, XX,  34, NEQ, 0171, 0191, 0058, 0092
WP, 16, 2020100418, 03, AC00, 042, 241N, 1387E,  59,  982, XX,  34, NEQ, 0166, 0181, 0124, 0155
WP, 16, 2020100418, 03, AC00, 042, 241N, 1387E,  59,  982, XX,  50, NEQ, 0077, 0073, 0000, 0000
WP, 16, 2020100418, 03, AC00, 048, 245N, 1380E,  65,  976, XX,  34, NEQ, 0176, 0190, 0106, 0122
WP, 16, 2020100418, 03, AC00, 048, 245N, 1380E,  65,  976, XX,  50, NEQ, 0103, 0086, 0000, 0000
WP, 16, 2020100418, 03, AC00, 048, 245N, 1380E,  65,  976, XX,  64, NEQ, 0043, 0056, 0000, 0000
WP, 16, 2020100418, 03, AC00, 054, 253N, 1367E,  70,  975, XX,  34, NEQ, 0182, 0189, 0073, 0293
WP, 16, 2020100418, 03, AC00, 054, 253N, 1367E,  70,  975, XX,  50, NEQ, 0083, 0105, 0000, 0073
WP, 16, 2020100418, 03, AC00, 054, 253N, 1367E,  70,  975, XX,  64, NEQ, 0059, 0000, 0000, 0000
WP, 16, 2020100418, 03, AC00, 060, 255N, 1354E,  73,  966, XX,  34, NEQ, 0270, 0170, 0164, 0302
WP, 16, 2020100418, 03, AC00, 060, 255N, 1354E,  73,  966, XX,  50, NEQ, 0092, 0107, 0049, 0067
WP, 16, 2020100418, 03, AC00, 060, 255N, 1354E,  73,  966, XX,  64, NEQ, 0057, 0059, 0000, 0000
WP, 16, 2020100418, 03, AC00, 066, 258N, 1342E,  72,  968, XX,  34, NEQ, 0375, 0194, 0175, 0347
WP, 16, 2020100418, 03, AC00, 066, 258N, 1342E,  72,  968, XX,  50, NEQ, 0100, 0108, 0053, 0079
WP, 16, 2020100418, 03, AC00, 066, 258N, 1342E,  72,  968, XX,  64, NEQ, 0071, 0046, 0000, 0055
WP, 16, 2020100418, 03, AC00, 072, 262N, 1335E,  75,  965, XX,  34, NEQ, 0522, 0206, 0162, 0319
WP, 16, 2020100418, 03, AC00, 072, 262N, 1335E,  75,  965, XX,  50, NEQ, 0109, 0117, 0059, 0072
WP, 16, 2020100418, 03, AC00, 072, 262N, 1335E,  75,  965, XX,  64, NEQ, 0056, 0056, 0000, 0000
WP, 16, 2020100418, 03, AC00, 078, 268N, 1329E,  78,  966, XX,  34, NEQ, 0552, 0199, 0105, 0294
WP, 16, 2020100418, 03, AC00, 078, 268N, 1329E,  78,  966, XX,  50, NEQ, 0099, 0097, 0060, 0082
WP, 16, 2020100418, 03, AC00, 078, 268N, 1329E,  78,  966, XX,  64, NEQ, 0061, 0062, 0000, 0049
WP, 16, 2020100418, 03, AC00, 084, 274N, 1323E,  76,  963, XX,  34, NEQ, 0392, 0167, 0186, 0254
WP, 16, 2020100418, 03, AC00, 084, 274N, 1323E,  76,  963, XX,  50, NEQ, 0191, 0093, 0064, 0160
WP, 16, 2020100418, 03, AC00, 084, 274N, 1323E,  76,  963, XX,  64, NEQ, 0063, 0047, 0000, 0048
WP, 16, 2020100418, 03, AC00, 090, 276N, 1316E,  78,  966, XX,  34, NEQ, 0554, 0161, 0171, 0232
WP, 16, 2020100418, 03, AC00, 090, 276N, 1316E,  78,  966, XX,  50, NEQ, 0198, 0077, 0066, 0145
WP, 16, 2020100418, 03, AC00, 090, 276N, 1316E,  78,  966, XX,  64, NEQ, 0060, 0048, 0000, 0063
WP, 16, 2020100418, 03, AC00, 096, 279N, 1308E,  80,  965, XX,  34, NEQ, 0364, 0177, 0128, 0192
WP, 16, 2020100418, 03, AC00, 096, 279N, 1308E,  80,  965, XX,  50, NEQ, 0166, 0081, 0062, 0127
WP, 16, 2020100418, 03, AC00, 096, 279N, 1308E,  80,  965, XX,  64, NEQ, 0061, 0045, 0000, 0048
WP, 16, 2020100418, 03, AC00, 102, 285N, 1303E,  77,  966, XX,  34, NEQ, 0364, 0159, 0124, 0167
WP, 16, 2020100418, 03, AC00, 102, 285N, 1303E,  77,  966, XX,  50, NEQ, 0121, 0082, 0060, 0122
WP, 16, 2020100418, 03, AC00, 102, 285N, 1303E,  77,  966, XX,  64, NEQ, 0063, 0052, 0000, 0063
WP, 16, 2020100418, 03, AC00, 108, 290N, 1299E,  81,  965, XX,  34, NEQ, 0247, 0149, 0134, 0336
WP, 16, 2020100418, 03, AC00, 108, 290N, 1299E,  81,  965, XX,  50, NEQ, 0087, 0083, 0062, 0093
WP, 16, 2020100418, 03, AC00, 108, 290N, 1299E,  81,  965, XX,  64, NEQ, 0056, 0057, 0041, 0044
WP, 16, 2020100418, 03, AC00, 114, 296N, 1298E,  72,  968, XX,  34, NEQ, 0181, 0157, 0126, 0289
WP, 16, 2020100418, 03, AC00, 114, 296N, 1298E,  72,  968, XX,  50, NEQ, 0087, 0076, 0068, 0085
WP, 16, 2020100418, 03, AC00, 114, 296N, 1298E,  72,  968, XX,  64, NEQ, 0056, 0054, 0000, 0057
WP, 16, 2020100418, 03, AC00, 120, 302N, 1297E,  71,  970, XX,  34, NEQ, 0153, 0176, 0115, 0242
WP, 16, 2020100418, 03, AC00, 120, 302N, 1297E,  71,  970, XX,  50, NEQ, 0073, 0082, 0075, 0067
WP, 16, 2020100418, 03, AC00, 120, 302N, 1297E,  71,  970, XX,  64, NEQ, 0058, 0051, 0000, 0049
WP, 16, 2020100418, 03, AC00, 126, 309N, 1302E,  69,  973, XX,  34, NEQ, 0123, 0136, 0115, 0233
WP, 16, 2020100418, 03, AC00, 126, 309N, 1302E,  69,  973, XX,  50, NEQ, 0067, 0079, 0064, 0063
WP, 16, 2020100418, 03, AC00, 126, 309N, 1302E,  69,  973, XX,  64, NEQ, 0043, 0048, 0000, 0000
WP, 16, 2020100418, 03, AC00, 132, 318N, 1311E,  59,  979, XX,  34, NEQ, 0230, 0143, 0112, 0232
WP, 16, 2020100418, 03, AC00, 132, 318N, 1311E,  59,  979, XX,  50, NEQ, 0046, 0069, 0000, 0000
WP, 16, 2020100418, 03, AC00, 138, 326N, 1324E,  56,  983, XX,  34, NEQ, 0260, 0146, 0130, 0224
WP, 16, 2020100418, 03, AC00, 138, 326N, 1324E,  56,  983, XX,  50, NEQ, 0000, 0076, 0000, 0059
WP, 16, 2020100418, 03, AC00, 144, 335N, 1334E,  50,  987, XX,  34, NEQ, 0083, 0153, 0071, 0141
WP, 16, 2020100418, 03, AC00, 144, 335N, 1334E,  50,  987, XX,  50, NEQ, 0078, 0000, 0000, 0000
WP, 16, 2020100418, 03, AC00, 150, 346N, 1351E,  44,  993, XX,  34, NEQ, 0000, 0145, 0097, 0000
WP, 16, 2020100418, 03, AC00, 156, 355N, 1367E,  32,  999, XX,  34, NEQ, 0270, 0000, 0000, 0000
WP, 16, 2020100418, 03, AC00, 162, 369N, 1405E,  41, 1000, XX,  34, NEQ, 0180, 0000, 0000, 0000
WP, 16, 2020100418, 03, AC00, 168, 383N, 1430E,  39,  998, XX,  34, NEQ, 0287, 0258, 0108, 0000
WP, 16, 2020100418, 03, AC00, 174, 398N, 1459E,  42,  998, XX,  34, NEQ, 0261, 0439, 0000, 0000
WP, 16, 2020100418, 03, AC00, 180, 412N, 1486E,  40,  996, XX,  34, NEQ, 0310, 0287, 0098, 0099
WP, 16, 2020100418, 03, AC00, 186, 419N, 1507E,  39,  999, XX,  34, NEQ, 0286, 0375, 0000, 0110
WP, 16, 2020100418, 03, AC00, 192, 418N, 1517E,  39, 1000, XX,  34, NEQ, 0415, 0287, 0000, 0163
WP, 16, 2020100418, 03, AEMN, 000, 226N, 1392E,  29,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 006, 228N, 1392E,  35,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 012, 234N, 1395E,  38,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 018, 236N, 1394E,  40,  993, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 024, 241N, 1393E,  44,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 030, 244N, 1390E,  49,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 036, 247N, 1390E,  49,  986, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 042, 248N, 1386E,  52,  986, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 048, 251N, 1380E,  61,  981, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 054, 256N, 1369E,  65,  980, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 060, 261N, 1359E,  63,  976, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 066, 265N, 1349E,  66,  976, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 072, 271N, 1342E,  68,  973, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 078, 278N, 1339E,  72,  973, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 084, 284N, 1339E,  76,  972, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 090, 287N, 1339E,  73,  976, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 096, 286N, 1327E,  71,  976, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 102, 288N, 1324E,  68,  979, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 108, 292N, 1322E,  65,  979, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 114, 295N, 1320E,  65,  981, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 120, 298N, 1318E,  61,  981, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 126, 302N, 1318E,  56,  984, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 132, 305N, 1320E,  52,  985, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 138, 306N, 1324E,  46,  990, XX,  34, NEQ, 0000, 0000, 0000, 0000
WP, 16, 2020100418, 03, AEMN, 144, 308N, 1327E,  42,  991, XX,  34, NEQ, 0000, 0000, 0000, 0000
