WP, 26, 2018090700, 01, CARQ,   0, 123N, 1680E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090700, 01, CARQ,   0, 123N, 1680E,  20, 1007, XX,  50, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090700, 01, CARQ,   0, 123N, 1680E,  20, 1007, XX,  64, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090706, 01, CARQ,  -6, 123N, 1680E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090706, 01, CARQ,   0, 124N, 1667E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090706, 01, CARQ,   0, 124N, 1667E,  25, 1007, XX,  50, NEQ,    0,    0,    0,    0, 1009,  130,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090706, 01, CARQ,   0, 124N, 1667E,  25, 1007, XX,  64, NEQ,    0,    0,    0,    0, 1009,  130,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090712, 01, CARQ, -12, 123N, 1680E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  135,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090712, 01, CARQ,  -6, 124N, 1667E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  35,   0,   0,   W,   0,   X, 275,  13,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090712, 01, CARQ,   0, 128N, 1655E,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  35,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
WP, 26, 2018090712, 01, CARQ,   0, 128N, 1655E,  30, 1007, XX,  50, NEQ,    0,    0,    0,    0, 1010,  100,  35,   0,   0,   W,   0,   X, 280,  14,  TWENTY-SI, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP262018, JTWC, NCEP_TCVITALS, 
