WP, 33, 2018111812, 01, CARQ,   0, 066N, 1329E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  45,   0,   0,   W,   0,   X, 265,  13,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111812, 01, CARQ,   0, 066N, 1329E,  30, 1002, XX,  50, NEQ,    0,    0,    0,    0, 1007,  180,  45,   0,   0,   W,   0,   X, 265,  13,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111812, 01, CARQ,   0, 066N, 1329E,  30, 1002, XX,  64, NEQ,    0,    0,    0,    0, 1007,  180,  45,   0,   0,   W,   0,   X, 265,  13,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111818, 01, CARQ,  -6, 066N, 1329E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  45,   0,   0,   W,   0,   X, 265,  13,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111818, 01, CARQ,   0, 070N, 1330E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  220,  45,   0,   0,   W,   0,   X, 280,   9,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111818, 01, CARQ,   0, 070N, 1330E,  30, 1000, XX,  50, NEQ,    0,    0,    0,    0, 1007,  220,  45,   0,   0,   W,   0,   X, 280,   9,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111818, 01, CARQ,   0, 070N, 1330E,  30, 1000, XX,  64, NEQ,    0,    0,    0,    0, 1007,  220,  45,   0,   0,   W,   0,   X, 280,   9,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111900, 01, CARQ, -12, 066N, 1329E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  45,   0,   0,   W,   0,   X, 265,  13,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111900, 01, CARQ,  -6, 070N, 1330E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  220,  45,   0,   0,   W,   0,   X, 280,   9,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111900, 01, CARQ,   0, 080N, 1324E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  185,  70,   0,   0,   W,   0,   X, 310,   8,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
WP, 33, 2018111900, 01, CARQ,   0, 080N, 1324E,  30, 1000, XX,  50, NEQ,    0,    0,    0,    0, 1008,  185,  70,   0,   0,   W,   0,   X, 310,   8,  THIRTYTHR, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP332018, JTWC, NCEP_TCVITALS, 
