WP, 97, 2013091100, 03, HWRF, 000, 190N, 1494E,  24, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0,  92
WP, 97, 2013091100, 03, HWRF, 006, 199N, 1496E,  41,  996, XX,  34, NEQ, 0071, 0108, 0000, 0000,    0,    0,  65
WP, 97, 2013091100, 03, HWRF, 012, 207N, 1490E,  48,  995, XX,  34, NEQ, 0070, 0056, 0000, 0000,    0,    0,  22
WP, 97, 2013091100, 03, HWRF, 018, 212N, 1483E,  54,  992, XX,  34, NEQ, 0176, 0154, 0000, 0147,    0,    0,  30
WP, 97, 2013091100, 03, HWRF, 018, 212N, 1483E,  54,  992, XX,  50, NEQ, 0036, 0000, 0000, 0000,    0,    0,  30
WP, 97, 2013091100, 03, HWRF, 024, 219N, 1473E,  51,  989, XX,  34, NEQ, 0120, 0167, 0024, 0108,    0,    0,  23
WP, 97, 2013091100, 03, HWRF, 024, 219N, 1473E,  51,  989, XX,  50, NEQ, 0024, 0000, 0000, 0000,    0,    0,  23
WP, 97, 2013091100, 03, HWRF, 030, 221N, 1463E,  63,  980, XX,  34, NEQ, 0165, 0212, 0035, 0135,    0,    0,  22
WP, 97, 2013091100, 03, HWRF, 030, 221N, 1463E,  63,  980, XX,  50, NEQ, 0041, 0000, 0000, 0036,    0,    0,  22
WP, 97, 2013091100, 03, HWRF, 036, 221N, 1450E,  69,  974, XX,  34, NEQ, 0170, 0079, 0048, 0153,    0,    0,  17
WP, 97, 2013091100, 03, HWRF, 036, 221N, 1450E,  69,  974, XX,  50, NEQ, 0065, 0000, 0024, 0039,    0,    0,  17
WP, 97, 2013091100, 03, HWRF, 036, 221N, 1450E,  69,  974, XX,  64, NEQ, 0020, 0000, 0000, 0019,    0,    0,  17
WP, 97, 2013091100, 03, HWRF, 042, 218N, 1440E,  70,  967, XX,  34, NEQ, 0193, 0074, 0079, 0166,    0,    0,  15
WP, 97, 2013091100, 03, HWRF, 042, 218N, 1440E,  70,  967, XX,  50, NEQ, 0040, 0027, 0032, 0040,    0,    0,  15
WP, 97, 2013091100, 03, HWRF, 042, 218N, 1440E,  70,  967, XX,  64, NEQ, 0020, 0000, 0000, 0018,    0,    0,  15
WP, 97, 2013091100, 03, HWRF, 048, 217N, 1432E,  71,  960, XX,  34, NEQ, 0220, 0088, 0096, 0204,    0,    0,  19
WP, 97, 2013091100, 03, HWRF, 048, 217N, 1432E,  71,  960, XX,  50, NEQ, 0053, 0035, 0035, 0051,    0,    0,  19
WP, 97, 2013091100, 03, HWRF, 048, 217N, 1432E,  71,  960, XX,  64, NEQ, 0026, 0025, 0022, 0028,    0,    0,  19
WP, 97, 2013091100, 03, HWRF, 054, 218N, 1423E,  85,  950, XX,  34, NEQ, 0218, 0102, 0100, 0222,    0,    0,  18
WP, 97, 2013091100, 03, HWRF, 054, 218N, 1423E,  85,  950, XX,  50, NEQ, 0051, 0040, 0049, 0069,    0,    0,  18
WP, 97, 2013091100, 03, HWRF, 054, 218N, 1423E,  85,  950, XX,  64, NEQ, 0034, 0029, 0033, 0039,    0,    0,  18
WP, 97, 2013091100, 03, HWRF, 060, 219N, 1415E,  88,  943, XX,  34, NEQ, 0330, 0104, 0136, 0253,    0,    0,  24
WP, 97, 2013091100, 03, HWRF, 060, 219N, 1415E,  88,  943, XX,  50, NEQ, 0074, 0048, 0057, 0079,    0,    0,  24
WP, 97, 2013091100, 03, HWRF, 060, 219N, 1415E,  88,  943, XX,  64, NEQ, 0043, 0035, 0035, 0044,    0,    0,  24
WP, 97, 2013091100, 03, HWRF, 066, 220N, 1406E, 100,  935, XX,  34, NEQ, 0351, 0156, 0165, 0296,    0,    0,  28
WP, 97, 2013091100, 03, HWRF, 066, 220N, 1406E, 100,  935, XX,  50, NEQ, 0080, 0059, 0072, 0083,    0,    0,  28
WP, 97, 2013091100, 03, HWRF, 066, 220N, 1406E, 100,  935, XX,  64, NEQ, 0049, 0044, 0046, 0053,    0,    0,  28
WP, 97, 2013091100, 03, HWRF, 072, 223N, 1401E, 111,  925, XX,  34, NEQ, 0351, 0173, 0175, 0350,    0,    0,  19
WP, 97, 2013091100, 03, HWRF, 072, 223N, 1401E, 111,  925, XX,  50, NEQ, 0093, 0080, 0077, 0076,    0,    0,  19
WP, 97, 2013091100, 03, HWRF, 072, 223N, 1401E, 111,  925, XX,  64, NEQ, 0053, 0052, 0049, 0048,    0,    0,  19
WP, 97, 2013091100, 03, HWRF, 078, 232N, 1393E, 104,  924, XX,  34, NEQ, 0351, 0193, 0180, 0351,    0,    0,  26
WP, 97, 2013091100, 03, HWRF, 078, 232N, 1393E, 104,  924, XX,  50, NEQ, 0080, 0089, 0071, 0070,    0,    0,  26
WP, 97, 2013091100, 03, HWRF, 078, 232N, 1393E, 104,  924, XX,  64, NEQ, 0059, 0065, 0053, 0052,    0,    0,  26
WP, 97, 2013091100, 03, HWRF, 084, 241N, 1386E, 122,  917, XX,  34, NEQ, 0351, 0204, 0224, 0343,    0,    0,  24
WP, 97, 2013091100, 03, HWRF, 084, 241N, 1386E, 122,  917, XX,  50, NEQ, 0106, 0102, 0068, 0096,    0,    0,  24
WP, 97, 2013091100, 03, HWRF, 084, 241N, 1386E, 122,  917, XX,  64, NEQ, 0061, 0061, 0053, 0054,    0,    0,  24
WP, 97, 2013091100, 03, HWRF, 090, 252N, 1376E, 119,  913, XX,  34, NEQ, 0350, 0245, 0269, 0327,    0,    0,  28
WP, 97, 2013091100, 03, HWRF, 090, 252N, 1376E, 119,  913, XX,  50, NEQ, 0173, 0091, 0070, 0087,    0,    0,  28
WP, 97, 2013091100, 03, HWRF, 090, 252N, 1376E, 119,  913, XX,  64, NEQ, 0064, 0066, 0052, 0061,    0,    0,  28
WP, 97, 2013091100, 03, HWRF, 096, 260N, 1367E, 122,  910, XX,  34, NEQ, 0267, 0278, 0287, 0348,    0,    0,  27
WP, 97, 2013091100, 03, HWRF, 096, 260N, 1367E, 122,  910, XX,  50, NEQ, 0113, 0109, 0072, 0089,    0,    0,  27
WP, 97, 2013091100, 03, HWRF, 096, 260N, 1367E, 122,  910, XX,  64, NEQ, 0071, 0070, 0055, 0064,    0,    0,  27
WP, 97, 2013091100, 03, HWRF, 102, 269N, 1360E, 118,  910, XX,  34, NEQ, 0291, 0309, 0251, 0350,    0,    0,  32
