CP, 01, 2015071006,   , BEST,   0, 114N, 1703W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  210, 100,   0,   0,   C,   0,   X, 270,   8,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071012,   , BEST,   0, 114N, 1708W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  210, 100,   0,   0,   C,   0,   X, 270,   7,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071018,   , BEST,   0, 117N, 1716W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  210, 100,   0,   0,   C,   0,   X, 280,   7,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071018,   , BEST,   0, 116N, 1716W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  210, 100,   0,   0,   C,   0,   X, 275,   7,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071100,   , BEST,   0, 114N, 1726W,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1010,  210, 100,   0,   0,   C,   0,   X, 270,   8,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071100,   , BEST,   0, 114N, 1726W,  35, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1010,  210, 100,   0,   0,   C,   0,   X, 270,   8,     HALOLA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071106,   , BEST,   0, 112N, 1741W,  35, 1004, XX,  34, NEQ,   30,   10,   10,   30, 1010,  210,  30,   0,   0,   C,   0,   X, 265,  10,     HALOLA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071112,   , BEST,   0, 112N, 1750W,  40, 1003, XX,  34, NEQ,   35,   20,   20,   35, 1010,  210,  30,   0,   0,   C,   0,   X, 270,  11,     HALOLA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071118,   , BEST,   0, 105N, 1758W,  45, 1002, XX,  34, NEQ,   40,   20,   20,   40, 1010,  210,  35,   0,   0,   C,   0,   X, 255,  11,     HALOLA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071200,   , BEST,   0, 108N, 1767W,  45, 1002, XX,  34, NEQ,   40,   20,   20,   40, 1010,  210,  35,   0,   0,   C,   0,   X, 265,   9,     HALOLA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
CP, 01, 2015071206,   , BEST,   0, 113N, 1776W,  50,  999, XX,  34, NEQ,   60,   30,   30,   50, 1010,  250,  30,   0,   0,   C,   0,   X, 290,   9,     HALOLA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP012015,  NHC, NCEP_TCVITALS, 
