CP, 03, 2015082018,   , BEST,   0, 108N, 1495W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  60,   0,   0,   C,   0,   X, 280,  14,      THREE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082100,   , BEST,   0, 108N, 1508W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  60,   0,   0,   C,   0,   X, 275,  14,      THREE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082106,   , BEST,   0, 120N, 1507W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  210,  90,   0,   0,   C,   0,   X, 300,  10,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082112,   , BEST,   0, 125N, 1510W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1009,  210,  90,   0,   0,   C,   0,   X, 310,   8,      THREE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082112,   , BEST,   0, 125N, 1510W,  35, 1004, XX,  34, NEQ,   60,    0,    0,  100, 1009,  210,  60,   0,   0,   C,   0,   X, 310,   8,       KILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082118,   , BEST,   0, 128N, 1526W,  35, 1004, XX,  34, NEQ,   60,    0,    0,   60, 1009,  210,  60,   0,   0,   C,   0,   X, 295,  10,       KILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082200,   , BEST,   0, 132N, 1543W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  210,  60,   0,   0,   C,   0,   X, 290,  14,       KILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082200,   , BEST,   0, 132N, 1542W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  210,  60,   0,   0,   C,   0,   X, 290,  13,       KILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082206,   , BEST,   0, 131N, 1560W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1009,  180,  90,   0,   0,   C,   0,   X, 280,  15,       KILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082212,   , BEST,   0, 135N, 1575W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  90,   0,   0,   C,   0,   X, 280,  15,       KILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
CP, 03, 2015082218,   , BEST,   0, 139N, 1588W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180, 100,   0,   0,   C,   0,   X, 280,  14,       KILO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, CP032015,  NHC, NCEP_TCVITALS, 
