EP, 07, 2014072506,   , BEST,   0, 122N, 1340W,  35, 1006, XX,  34, NEQ,   40,   50,    0,   30, 1011,  100,  30,   0,   0,   E,   0,   X, 275,   9,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072512,   , BEST,   0, 123N, 1350W,  40, 1004, XX,  34, NEQ,   40,   50,    0,   30, 1011,  100,  30,   0,   0,   E,   0,   X, 275,   9,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072518,   , BEST,   0, 122N, 1358W,  40, 1004, XX,  34, NEQ,   40,   50,    0,   30, 1011,  100,  30,   0,   0,   E,   0,   X, 270,   9,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072600,   , BEST,   0, 121N, 1359W,  40, 1004, XX,  34, NEQ,   40,   40,    0,    0, 1011,  100,  20,   0,   0,   E,   0,   X, 270,   4,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072606,   , BEST,   0, 121N, 1364W,  35, 1005, XX,  34, NEQ,   40,   40,    0,    0, 1010,  100,  20,   0,   0,   E,   0,   X, 270,   4,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072612,   , BEST,   0, 122N, 1368W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  20,   0,   0,   E,   0,   X, 275,   4,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072618,   , BEST,   0, 124N, 1375W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  20,   0,   0,   E,   0,   X, 280,   5,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072700,   , BEST,   0, 125N, 1388W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  20,   0,   0,   E,   0,   X, 280,   6,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072706,   , BEST,   0, 124N, 1397W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  100,  30,   0,   0,   E,   0,   X, 270,   9,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072712,   , BEST,   0, 124N, 1406W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  140,  30,   0,   0,   E,   0,   X, 270,  10,  GENEVIEVE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
EP, 07, 2014072718,   , BEST,   0, 124N, 1422W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  140,  30,   0,   0,   E,   0,   X, 280,  12,  GENEVIEVE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, EP072014,  NHC, NCEP_TCVITALS, 
