EP, 13, 2016082406,   , BEST,   0, 143N, 1074W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082412,   , BEST,   0, 147N, 1085W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  150,  70,  35,   0,   E,   0,    ,   0,   0,     INVEST, S, 
EP, 13, 2016082418,   , BEST,   0, 151N, 1095W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  130,  40,   0,   0,   E,   0,    ,   0,   0,   THIRTEEN, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, epB92016 to ep132016, 
EP, 13, 2016082500,   , BEST,   0, 155N, 1104W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  180,  40,  40,   0,   E,   0,    ,   0,   0,   THIRTEEN, M, 
EP, 13, 2016082506,   , BEST,   0, 160N, 1113W,  35, 1005, TS,  34, NEQ,   30,    0,    0,   30, 1011,  180,  30,  45,   0,   E,   0,    ,   0,   0,     LESTER, M, 
EP, 13, 2016082512,   , BEST,   0, 164N, 1123W,  45, 1003, TS,  34, NEQ,   40,   30,   20,   30, 1011,  150,  30,  55,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   30,    0,    0,   30, 
EP, 13, 2016082518,   , BEST,   0, 166N, 1130W,  50, 1001, TS,  34, NEQ,   40,   40,   20,   40, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   30,    0,   30, 
EP, 13, 2016082518,   , BEST,   0, 166N, 1130W,  50, 1001, TS,  50, NEQ,   20,    0,    0,    0, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   30,    0,   30, 
EP, 13, 2016082600,   , BEST,   0, 168N, 1136W,  50, 1001, TS,  34, NEQ,   50,   50,   20,   40, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   30,   30,   45, 
EP, 13, 2016082600,   , BEST,   0, 168N, 1136W,  50, 1001, TS,  50, NEQ,   20,    0,    0,    0, 1012,  150,  20,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   30,   30,   45, 
EP, 13, 2016082606,   , BEST,   0, 171N, 1142W,  50, 1001, TS,  34, NEQ,   70,   60,   20,   60, 1012,  150,  40,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   45,   30,   45, 
EP, 13, 2016082606,   , BEST,   0, 171N, 1142W,  50, 1001, TS,  50, NEQ,   40,    0,    0,    0, 1012,  150,  40,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   45,   45,   30,   45, 
EP, 13, 2016082612,   , BEST,   0, 174N, 1147W,  55,  997, TS,  34, NEQ,   70,   60,   20,   60, 1010,  200,  40,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   60,   60,   45,   60, 
EP, 13, 2016082612,   , BEST,   0, 174N, 1147W,  55,  997, TS,  50, NEQ,   40,    0,    0,    0, 1010,  200,  40,  60,   0,   E,   0,    ,   0,   0,     LESTER, M, 12, NEQ,   60,   60,   45,   60, 
EP, 13, 2016082618,   , BEST,   0, 176N, 1153W,  60,  994, TS,  34, NEQ,   90,   60,   40,   70, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   60, 
EP, 13, 2016082618,   , BEST,   0, 176N, 1153W,  60,  994, TS,  50, NEQ,   40,   30,    0,   30, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   60, 
EP, 13, 2016082700,   , BEST,   0, 178N, 1161W,  65,  989, HU,  34, NEQ,   90,   60,   40,   70, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   90, 
EP, 13, 2016082700,   , BEST,   0, 178N, 1161W,  65,  989, HU,  50, NEQ,   40,   30,    0,   30, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   90, 
EP, 13, 2016082700,   , BEST,   0, 178N, 1161W,  65,  989, HU,  64, NEQ,   20,   15,    0,    0, 1011,  175,  25,  75,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,   90,   60,   60,   90, 
EP, 13, 2016082706,   , BEST,   0, 178N, 1169W,  75,  982, HU,  34, NEQ,   90,   60,   40,   70, 1011,  175,  20,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  105,   75,   90,  105, 
EP, 13, 2016082706,   , BEST,   0, 178N, 1169W,  75,  982, HU,  50, NEQ,   40,   30,   20,   30, 1011,  175,  20,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  105,   75,   90,  105, 
EP, 13, 2016082706,   , BEST,   0, 178N, 1169W,  75,  982, HU,  64, NEQ,   20,   15,   15,   20, 1011,  175,  20,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  105,   75,   90,  105, 
EP, 13, 2016082712,   , BEST,   0, 178N, 1178W,  85,  975, HU,  34, NEQ,   90,   60,   40,   70, 1010,  225,  20, 100,  20,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  120,   90,   75,   90, 
EP, 13, 2016082712,   , BEST,   0, 178N, 1178W,  85,  975, HU,  50, NEQ,   40,   30,   20,   30, 1010,  225,  20, 100,  20,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  120,   90,   75,   90, 
EP, 13, 2016082712,   , BEST,   0, 178N, 1178W,  85,  975, HU,  64, NEQ,   20,   15,   15,   20, 1010,  225,  20, 100,  20,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  120,   90,   75,   90, 
EP, 13, 2016082718,   , BEST,   0, 179N, 1190W,  95,  969, HU,  34, NEQ,   90,   60,   40,   70, 1011,  200,  15, 110,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  120,   90,   90,  120, 
EP, 13, 2016082718,   , BEST,   0, 179N, 1190W,  95,  969, HU,  50, NEQ,   40,   30,   20,   30, 1011,  200,  15, 110,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  120,   90,   90,  120, 
EP, 13, 2016082718,   , BEST,   0, 179N, 1190W,  95,  969, HU,  64, NEQ,   20,   15,   15,   20, 1011,  200,  15, 110,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  120,   90,   90,  120, 
EP, 13, 2016082800,   , BEST,   0, 179N, 1203W,  90,  973, HU,  34, NEQ,   90,   70,   50,   80, 1011,  200,  15, 115,  10,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082800,   , BEST,   0, 179N, 1203W,  90,  973, HU,  50, NEQ,   40,   30,   20,   30, 1011,  200,  15, 115,  10,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082800,   , BEST,   0, 179N, 1203W,  90,  973, HU,  64, NEQ,   20,   15,   15,   20, 1011,  200,  15, 115,  10,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082806,   , BEST,   0, 179N, 1216W,  85,  977, HU,  34, NEQ,   90,   70,   50,   80, 1011,  200,  15, 105,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082806,   , BEST,   0, 179N, 1216W,  85,  977, HU,  50, NEQ,   40,   30,   20,   30, 1011,  200,  15, 105,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082806,   , BEST,   0, 179N, 1216W,  85,  977, HU,  64, NEQ,   20,   15,   15,   20, 1011,  200,  15, 105,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082812,   , BEST,   0, 178N, 1229W,  75,  983, HU,  34, NEQ,   90,   70,   50,   80, 1011,  200,  15, 100,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082812,   , BEST,   0, 178N, 1229W,  75,  983, HU,  50, NEQ,   40,   30,   20,   30, 1011,  200,  15, 100,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082812,   , BEST,   0, 178N, 1229W,  75,  983, HU,  64, NEQ,   20,   15,   15,   20, 1011,  200,  15, 100,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082818,   , BEST,   0, 178N, 1242W,  75,  983, HU,  34, NEQ,   90,   70,   50,   80, 1011,  200,  15,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082818,   , BEST,   0, 178N, 1242W,  75,  983, HU,  50, NEQ,   40,   30,   20,   30, 1011,  200,  15,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082818,   , BEST,   0, 178N, 1242W,  75,  983, HU,  64, NEQ,   20,   15,   15,   20, 1011,  200,  15,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  150, 
EP, 13, 2016082900,   , BEST,   0, 178N, 1256W,  80,  980, HU,  34, NEQ,   90,   70,   50,   80, 1011,  200,  15,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082900,   , BEST,   0, 178N, 1256W,  80,  980, HU,  50, NEQ,   40,   30,   20,   40, 1011,  200,  15,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082900,   , BEST,   0, 178N, 1256W,  80,  980, HU,  64, NEQ,   20,   15,   15,   20, 1011,  200,  15,  90,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082906,   , BEST,   0, 179N, 1271W,  95,  969, HU,  34, NEQ,   90,   70,   50,   80, 1010,  200,  15, 115,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082906,   , BEST,   0, 179N, 1271W,  95,  969, HU,  50, NEQ,   40,   30,   20,   40, 1010,  200,  15, 115,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082906,   , BEST,   0, 179N, 1271W,  95,  969, HU,  64, NEQ,   20,   15,   15,   20, 1010,  200,  15, 115,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082912,   , BEST,   0, 180N, 1286W, 105,  960, HU,  34, NEQ,   90,   70,   50,   80, 1010,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082912,   , BEST,   0, 180N, 1286W, 105,  960, HU,  50, NEQ,   40,   30,   20,   40, 1010,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082912,   , BEST,   0, 180N, 1286W, 105,  960, HU,  64, NEQ,   20,   15,   15,   20, 1010,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082918,   , BEST,   0, 180N, 1299W, 115,  952, HU,  34, NEQ,   90,   70,   60,   80, 1010,  200,  15, 140,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082918,   , BEST,   0, 180N, 1299W, 115,  952, HU,  50, NEQ,   50,   30,   20,   40, 1010,  200,  15, 140,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016082918,   , BEST,   0, 180N, 1299W, 115,  952, HU,  64, NEQ,   25,   20,   15,   25, 1010,  200,  15, 140,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  120,  180, 
EP, 13, 2016083000,   , BEST,   0, 181N, 1312W, 115,  953, HU,  34, NEQ,   90,   70,   60,   80, 1011,  200,  15, 145,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083000,   , BEST,   0, 181N, 1312W, 115,  953, HU,  50, NEQ,   50,   40,   40,   50, 1011,  200,  15, 145,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083000,   , BEST,   0, 181N, 1312W, 115,  953, HU,  64, NEQ,   30,   20,   20,   25, 1011,  200,  15, 145,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083006,   , BEST,   0, 181N, 1325W, 110,  957, HU,  34, NEQ,   90,   70,   60,   80, 1011,  200,  15, 135,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083006,   , BEST,   0, 181N, 1325W, 110,  957, HU,  50, NEQ,   50,   40,   40,   50, 1011,  200,  15, 135,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083006,   , BEST,   0, 181N, 1325W, 110,  957, HU,  64, NEQ,   30,   20,   20,   25, 1011,  200,  15, 135,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083012,   , BEST,   0, 181N, 1338W, 105,  961, HU,  34, NEQ,   90,   70,   60,   80, 1011,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083012,   , BEST,   0, 181N, 1338W, 105,  961, HU,  50, NEQ,   50,   40,   40,   50, 1011,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083012,   , BEST,   0, 181N, 1338W, 105,  961, HU,  64, NEQ,   30,   20,   20,   25, 1011,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  180,  120,  150,  180, 
EP, 13, 2016083018,   , BEST,   0, 179N, 1350W, 105,  961, HU,  34, NEQ,   90,   70,   60,   80, 1011,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  240,  120,  180,  240, 
EP, 13, 2016083018,   , BEST,   0, 179N, 1350W, 105,  961, HU,  50, NEQ,   50,   40,   40,   50, 1011,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  240,  120,  180,  240, 
EP, 13, 2016083018,   , BEST,   0, 179N, 1350W, 105,  961, HU,  64, NEQ,   30,   20,   20,   30, 1011,  200,  15, 130,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  240,  120,  180,  240, 
EP, 13, 2016083100,   , BEST,   0, 178N, 1360W, 120,  948, HU,  34, NEQ,   90,   70,   60,   80, 1011,  200,  15, 145,   0,   E,   0,    ,   0,   0,     LESTER, D, 12, NEQ,  240,  120,  180,  240, 
