SH, 09, 2018020900,   , BEST,   0, 138S, 1755W,  40,  992, XX,  34, NEQ,   60,    0,    0,  130,  998,  130,  45,   0,   0,   P,   0,   X,  75,  20,       NINE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018020906,   , BEST,   0, 143S, 1745W,  40,  989, XX,  34, NEQ,  145,    0,    0,  145,  998,  130,  45,   0,   0,   P,   0,   X,  85,  14,       NINE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018020912,   , BEST,   0, 145S, 1730W,  45,  986, XX,  34, NEQ,  175,  145,   85,  190,  998,  145,  45,   0,   0,   P,   0,   X,  90,  13,       GITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018020918,   , BEST,   0, 153S, 1714W,  45,  982, XX,  34, NEQ,  180,  145,   85,  180,  993,  175,  45,   0,   0,   P,   0,   X, 105,  15,       GITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021000,   , BEST,   0, 161S, 1700W,  50,  981, XX,  34, NEQ,  190,  135,   80,  170,  994,  180,  45,   0,   0,   P,   0,   X, 115,  16,       GITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021006,   , BEST,   0, 170S, 1690W,  50,  980, XX,  34, NEQ,  165,  115,   75,  125,  994,  180,  45,   0,   0,   P,   0,   X, 125,  15,       GITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021012,   , BEST,   0, 182S, 1685W,  55,  988, XX,  34, NEQ,  160,  135,   90,  120,  998,  185,  45,   0,   0,   P,   0,   X, 135,  13,       GITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021018,   , BEST,   0, 189S, 1686W,  75,  970, XX,  34, NEQ,  180,  135,   85,  140,  999,  190,  25,   0,   0,   P,   0,   X, 155,  10,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021100,   , BEST,   0, 205S, 1683W,  85,  963, XX,  34, NEQ,  185,  145,   90,  145, 1000,  195,  25,   0,   0,   P,   0,   X, 170,  12,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021106,   , BEST,   0, 209S, 1689W,  90,  956, XX,  34, NEQ,  190,  165,   95,  125,  998,  200,  25,   0,   0,   P,   0,   X, 190,   9,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
SH, 09, 2018021112,   , BEST,   0, 214S, 1702W,  90,  957, XX,  34, NEQ,  150,  150,  110,  105,  999,  200,  25,   0,   0,   P,   0,   X, 220,   9,       GITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH092018, JTWC, NCEP_TCVITALS, 
