SH, 14, 2014020618,   , BEST,   0, 130S, 0703E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  160,  40,   0,   0,   S,   0,   X, 275,   4,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020700,   , BEST,   0, 128S, 0700E,  35,  995, XX,  34, NEQ,    0,    0,    0,    0, 1002,  160,  40,   0,   0,   S,   0,   X, 280,   4,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020706,   , BEST,   0, 148S, 0704E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1002,  160,  40,   0,   0,   S,   0,   X, 200,   6,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020712,   , BEST,   0, 155S, 0698E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  170,  40,   0,   0,   S,   0,   X, 200,   8,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020718,   , BEST,   0, 161S, 0696E,  40,  993, XX,  34, NEQ,   55,   55,   55,   55, 1002,  190,  40,   0,   0,   S,   0,   X, 200,   7,   FOURTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020800,   , BEST,   0, 156S, 0690E,  40,  993, XX,  34, NEQ,   55,   55,   55,   55, 1004,  200,  40,   0,   0,   S,   0,   X, 235,   5,   FOURTEEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020806,   , BEST,   0, 151S, 0701E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  200,  40,   0,   0,   S,   0,   X,  25,   1,     FOBANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020812,   , BEST,   0, 152S, 0712E,  45,  989, XX,  34, NEQ,   45,   45,   35,   35, 1004,  220,  40,   0,   0,   S,   0,   X,  75,   7,     FOBANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020818,   , BEST,   0, 154S, 0716E,  45,  989, XX,  34, NEQ,   55,   55,   55,   55, 1003,  210,  40,   0,   0,   S,   0,   X, 105,   7,     FOBANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020900,   , BEST,   0, 154S, 0725E,  55,  982, XX,  34, NEQ,   60,   60,   60,   60, 1002,  210,  25,   0,   0,   S,   0,   X, 105,   7,     FOBANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
SH, 14, 2014020906,   , BEST,   0, 156S, 0736E,  55,  982, XX,  34, NEQ,   50,   60,   50,   60, 1002,  210,  25,   0,   0,   S,   0,   X, 100,   8,     FOBANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142014, JTWC, NCEP_TCVITALS, 
