SH, 22, 2015040606,   , BEST,   0, 148S, 0623E,  45,  989, XX,  34, NEQ,   50,   40,   40,   45, 1006,  180,  45,   0,   0,   S,   0,   X, 280,   8,  TWENTY-TW, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040612,   , BEST,   0, 149S, 0617E,  45,  989, XX,  34, NEQ,   50,   50,   45,   40, 1006,  190,  45,   0,   0,   S,   0,   X, 270,   7,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040618,   , BEST,   0, 141S, 0618E,  45,  989, XX,  34, NEQ,   50,   55,   45,   40, 1006,  190,  45,   0,   0,   S,   0,   X, 295,   5,  TWENTY-TW, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040700,   , BEST,   0, 136S, 0623E,  45,  989, XX,  34, NEQ,   60,   70,   70,   55, 1006,  190,  35,   0,   0,   S,   0,   X, 340,   4,    JOALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040706,   , BEST,   0, 137S, 0626E,  55,  982, XX,  34, NEQ,   60,   70,   70,   55, 1006,  190,  15,   0,   0,   S,   0,   X,  30,   3,    JOALANE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040712,   , BEST,   0, 143S, 0628E,  80,  963, XX,  34, NEQ,   90,   85,   95,   90, 1004,  200,  10,   0,   0,   S,   0,   X, 110,   3,    JOALANE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040718,   , BEST,   0, 146S, 0630E,  85,  959, XX,  34, NEQ,   90,  105,  100,   90, 1004,  200,  10,   0,   0,   S,   0,   X, 145,   4,    JOALANE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040800,   , BEST,   0, 147S, 0632E,  90,  956, XX,  34, NEQ,  105,  115,  105,  100, 1004,  200,  15,   0,   0,   S,   0,   X, 145,   4,    JOALANE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040806,   , BEST,   0, 146S, 0640E,  90,  956, XX,  34, NEQ,  105,  115,  105,  100, 1004,  200,  20,   0,   0,   S,   0,   X, 110,   4,    JOALANE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040812,   , BEST,   0, 152S, 0647E,  90,  956, XX,  34, NEQ,  105,  115,  105,  100, 1004,  200,  15,   0,   0,   S,   0,   X, 120,   6,    JOALANE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040818,   , BEST,   0, 157S, 0651E,  90,  956, XX,  34, NEQ,  105,  115,  105,  100, 1004,  200,  12,   0,   0,   S,   0,   X, 125,   7,    JOALANE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
SH, 22, 2015040900,   , BEST,   0, 162S, 0653E,  90,  956, XX,  34, NEQ,  105,  115,  105,  100, 1004,  200,  12,   0,   0,   S,   0,   X, 140,   7,    JOALANE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222015, JTWC, NCEP_TCVITALS, 
