WP, 13, 2015073006,   , BEST,   0, 136N, 1599E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  165,  50,   0,   0,   W,   0,   X, 295,  10,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015073012,   , BEST,   0, 137N, 1591E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   W,   0,   X, 295,   9,   THIRTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015073018,   , BEST,   0, 139N, 1586E,  40,  993, XX,  34, NEQ,   65,   65,   55,   50, 1006,  155,  50,   0,   0,   W,   0,   X, 295,   9,   SOUDELOR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015073100,   , BEST,   0, 135N, 1584E,  40,  993, XX,  34, NEQ,   70,   65,   60,   50, 1006,  185,  40,   0,   0,   W,   0,   X, 265,   5,   SOUDELOR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015073106,   , BEST,   0, 138N, 1565E,  40,  993, XX,  34, NEQ,   60,   65,   60,   70, 1006,  185,  40,   0,   0,   W,   0,   X, 275,   8,   SOUDELOR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015073112,   , BEST,   0, 138N, 1557E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  40,   0,   0,   W,   0,   X, 270,   9,   SOUDELOR, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015073118,   , BEST,   0, 134N, 1549E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  190,  40,   0,   0,   W,   0,   X, 265,   9,   SOUDELOR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080100,   , BEST,   0, 136N, 1532E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  40,   0,   0,   W,   0,   X, 270,  11,   SOUDELOR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080106,   , BEST,   0, 141N, 1521E,  35,  996, XX,  34, NEQ,   65,   55,   55,   65, 1006,  180,  30,   0,   0,   W,   0,   X, 280,  11,   SOUDELOR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080112,   , BEST,   0, 141N, 1508E,  45,  989, XX,  34, NEQ,   70,   50,   50,   70, 1007,  190,  25,   0,   0,   W,   0,   X, 280,  11,   SOUDELOR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080118,   , BEST,   0, 142N, 1498E,  50,  985, XX,  34, NEQ,   75,   45,   55,   80, 1007,  190,  25,   0,   0,   W,   0,   X, 280,  10,   SOUDELOR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080200,   , BEST,   0, 146N, 1483E,  60,  978, XX,  34, NEQ,   75,   35,   35,   80, 1007,  190,  20,   0,   0,   W,   0,   X, 280,  12,   SOUDELOR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080206,   , BEST,   0, 148N, 1468E,  65,  974, XX,  34, NEQ,   75,   35,   35,   80, 1007,  190,  20,   0,   0,   W,   0,   X, 280,  13,   SOUDELOR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080212,   , BEST,   0, 151N, 1459E,  90,  956, XX,  34, NEQ,   75,   45,   45,   75, 1005,  190,  10,   0,   0,   W,   0,   X, 285,  13,   SOUDELOR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080218,   , BEST,   0, 156N, 1450E, 105,  944, XX,  34, NEQ,   95,   70,   55,   95, 1006,  200,   6,   0,   0,   W,   0,   X, 290,  11,   SOUDELOR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080300,   , BEST,   0, 162N, 1441E, 115,  937, XX,  34, NEQ,  110,   85,   75,  110, 1004,  210,   6,   0,   0,   W,   0,   X, 300,  10,   SOUDELOR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
WP, 13, 2015080306,   , BEST,   0, 169N, 1429E, 105,  944, XX,  34, NEQ,  125,  105,  105,  125, 1004,  210,   6,   0,   0,   W,   0,   X, 300,  11,   SOUDELOR, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP132015, JTWC, NCEP_TCVITALS, 
