WP, 20, 2015091418,   , BEST,   0, 171N, 1519E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  215,  45,   0,   0,   W,   0,   X, 350,   9,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091500,   , BEST,   0, 180N, 1516E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  215,  45,   0,   0,   W,   0,   X, 335,   9,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091506,   , BEST,   0, 180N, 1506E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  210,  45,   0,   0,   W,   0,   X, 315,   8,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091512,   , BEST,   0, 183N, 1497E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  185,  45,   0,   0,   W,   0,   X, 300,   9,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091518,   , BEST,   0, 184N, 1494E,  40,  993, XX,  34, NEQ,   50,   45,   50,   55, 1006,  195,  35,   0,   0,   W,   0,   X, 290,   7,     TWENTY, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091600,   , BEST,   0, 191N, 1485E,  45,  989, XX,  34, NEQ,   80,   90,   85,   75, 1005,  185,  30,   0,   0,   W,   0,   X, 295,   8,    KROVANH, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091606,   , BEST,   0, 198N, 1473E,  55,  982, XX,  34, NEQ,   80,   90,   85,   75, 1004,  190,  15,   0,   0,   W,   0,   X, 300,  10,    KROVANH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091612,   , BEST,   0, 200N, 1463E,  60,  978, XX,  34, NEQ,   80,   90,   85,   75, 1006,  190,  15,   0,   0,   W,   0,   X, 295,  11,    KROVANH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091618,   , BEST,   0, 204N, 1456E,  65,  974, XX,  34, NEQ,  110,   90,   65,   95, 1006,  210,  15,   0,   0,   W,   0,   X, 295,  10,    KROVANH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091700,   , BEST,   0, 212N, 1448E,  80,  963, XX,  34, NEQ,  125,  105,   70,  125, 1006,  187,  15,   0,   0,   W,   0,   X, 300,   9,    KROVANH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
WP, 20, 2015091706,   , BEST,   0, 217N, 1442E,  80,  963, XX,  34, NEQ,  125,  105,   70,  125, 1006,  195,  15,   0,   0,   W,   0,   X, 310,   9,    KROVANH, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202015, JTWC, NCEP_TCVITALS, 
