WP, 25, 2015101306,   , BEST,   0, 125N, 1612E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1009,  230,  35,   0,   0,   W,   0,   X, 290,  10,  TWENTY-FI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101312,   , BEST,   0, 130N, 1593E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1009,  230,  35,   0,   0,   W,   0,   X, 290,  13,  TWENTY-FI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101318,   , BEST,   0, 136N, 1580E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  230,  35,   0,   0,   W,   0,   X, 290,  15,  TWENTY-FI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101400,   , BEST,   0, 143N, 1584E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1009,  230,  35,   0,   0,   W,   0,   X, 295,  11,  TWENTY-FI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101406,   , BEST,   0, 149N, 1564E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  240,  35,   0,   0,   W,   0,   X, 290,  14,     CHAMPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101412,   , BEST,   0, 148N, 1551E,  40,  993, XX,  34, NEQ,  115,   55,   75,  120, 1008,  240,  30,   0,   0,   W,   0,   X, 280,  15,     CHAMPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101418,   , BEST,   0, 151N, 1537E,  45,  989, XX,  34, NEQ,  115,   55,   75,  120, 1004,  240,  30,   0,   0,   W,   0,   X, 280,  15,     CHAMPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101500,   , BEST,   0, 154N, 1526E,  50,  985, XX,  34, NEQ,  115,   95,  100,  120, 1004,  240,  30,   0,   0,   W,   0,   X, 280,  13,     CHAMPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101506,   , BEST,   0, 161N, 1512E,  50,  985, XX,  34, NEQ,   70,   75,  150,  105, 1004,  250,  45,   0,   0,   W,   0,   X, 290,  13,     CHAMPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101512,   , BEST,   0, 163N, 1498E,  50,  985, XX,  34, NEQ,   70,   70,  140,  105, 1006,  260,  45,   0,   0,   W,   0,   X, 290,  13,     CHAMPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101518,   , BEST,   0, 160N, 1485E,  55,  982, XX,  34, NEQ,   70,   85,  150,   95, 1004,  260,  30,   0,   0,   W,   0,   X, 280,  13,     CHAMPI, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101600,   , BEST,   0, 158N, 1469E,  60,  978, XX,  34, NEQ,  110,  140,  170,  135, 1004,  260,  30,   0,   0,   W,   0,   X, 270,  14,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101606,   , BEST,   0, 158N, 1447E,  60,  978, XX,  34, NEQ,   95,  115,  130,  100, 1004,  240,  20,   0,   0,   W,   0,   X, 270,  15,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101612,   , BEST,   0, 160N, 1435E,  65,  974, XX,  34, NEQ,   90,  120,  120,  100, 1006,  240,  25,   0,   0,   W,   0,   X, 270,  16,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101618,   , BEST,   0, 166N, 1432E,  65,  974, XX,  34, NEQ,   90,  120,  120,  100, 1006,  240,  25,   0,   0,   W,   0,   X, 285,  11,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101700,   , BEST,   0, 171N, 1425E,  80,  963, XX,  34, NEQ,  100,  130,  135,  120, 1006,  240,  12,   0,   0,   W,   0,   X, 300,   8,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101706,   , BEST,   0, 173N, 1418E,  90,  956, XX,  34, NEQ,  100,  130,  140,  105, 1006,  240,  15,   0,   0,   W,   0,   X, 300,   9,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101712,   , BEST,   0, 187N, 1407E,  90,  956, XX,  34, NEQ,  100,  130,  140,  105, 1006,  240,  12,   0,   0,   W,   0,   X, 315,  11,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101718,   , BEST,   0, 188N, 1403E,  90,  956, XX,  34, NEQ,  100,  130,  140,  105, 1006,  240,   6,   0,   0,   W,   0,   X, 310,   9,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101800,   , BEST,   0, 192N, 1401E, 100,  948, XX,  34, NEQ,  100,  130,  140,  105, 1006,  240,   6,   0,   0,   W,   0,   X, 315,   8,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101806,   , BEST,   0, 195N, 1400E, 105,  944, XX,  34, NEQ,  100,  130,  140,  105, 1006,  240,  12,   0,   0,   W,   0,   X, 320,   5,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101812,   , BEST,   0, 199N, 1402E, 130,  926, XX,  34, NEQ,  120,  155,  160,  125, 1004,  250,  20,   0,   0,   W,   0,   X, 355,   4,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101818,   , BEST,   0, 202N, 1403E, 125,  929, XX,  34, NEQ,  120,  155,  160,  125, 1004,  250,  12,   0,   0,   W,   0,   X,  10,   3,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101900,   , BEST,   0, 205N, 1404E, 115,  937, XX,  34, NEQ,  120,  155,  160,  125, 1004,  240,  12,   0,   0,   W,   0,   X,  20,   4,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101906,   , BEST,   0, 208N, 1403E, 105,  944, XX,  34, NEQ,  115,  145,  175,  125, 1004,  240,  15,   0,   0,   W,   0,   X,   5,   3,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
WP, 25, 2015101912,   , BEST,   0, 210N, 1402E, 100,  948, XX,  34, NEQ,  115,  145,  175,  125, 1004,  240,  17,   0,   0,   W,   0,   X, 355,   3,     CHAMPI, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP252015, JTWC, NCEP_TCVITALS, 
